CompanyName-fss,CompanyCode-fss,Sector,SubSector,Industry,Region,Ticker,Status,ListStatus,SPCIQ_ID,link_score,CompanyName-sp,Country
iShares MSCI All Country Asia ex Japan ETF,AAXJJN,Financial Services,Investment Management,Exchange Traded Funds,USA,AAXJ,A,L,47521309,100,iShares Trust - iShares MSCI All Country Asia ex Japan ETF,United States
Touchstone US Large Cap Focused ETF,ABBTKB,Financial Services,Investment Management,Exchange Traded Funds,USA,LCF,A,L,1778256101,100,Touchstone ETF Trust - Touchstone US Large Cap Focused ETF,United States
Davis Select International ETF,ABCOXO,Financial Services,Investment Management,Exchange Traded Funds,USA,DINT,A,L,546016869,100,Davis Fundamental ETF Trust - Davis Select International ETF,United States
Global X Adaptive US Factor ETF,ABFYOG,Financial Services,Investment Management,Exchange Traded Funds,USA,AUSF,A,L,576097397,100,Global X Funds - Global X Adaptive U.S. Factor ETF,United States
Overlay Shares Short Term Bond ETF,ABGEYY,Financial Services,Investment Management,Exchange Traded Funds,USA,OVT,A,L,694443100,100,Listed Funds Trust - Overlay Shares Short Term Bond ETF,United States
Xtrackers USD High Yield BB-B ex Financials ETF,ABMZBE,Financial Services,Investment Management,Exchange Traded Funds,USA,BHYB,A,L,1855110532,100,DBX ETF Trust - Xtrackers USD High Yield BB-B ex Financials ETF,United States
Xtrackers S&P 500 Growth Scored & Screened ETF,ABRDUH,Financial Services,Investment Management,Exchange Traded Funds,USA,SNPG,A,L,1786317079,100,DBX ETF Trust - Xtrackers S&P 500 Growth Scored & Screened ETF,United States
SPDR Portfolio MSCI Global Stock Market ETF,ACIMPZ,Financial Services,Investment Management,Exchange Traded Funds,USA,SPGM,A,L,171650956,100,SPDR Index Shares Funds - State Street SPDR Portfolio MSCI Global Stock Market ETF,United States
SPDR Nuveen Municipal Bond ETF,ACMNEH,Financial Services,Investment Management,Exchange Traded Funds,USA,MBND,A,L,696705272,100,SSGA Active Trust - State Street Nuveen Municipal Bond ETF,United States
American Customer Satisfaction Core Alpha ETF,ACSIZZ,Financial Services,Investment Management,Exchange Traded Funds,USA,ACSI,A,L,382825112,100,Tidal Trust I - American Customer Satisfaction ETF,United States
