CompanyName-fss,CompanyCode-fss,Sector,SubSector,Industry,Region,Ticker,Status,ListStatus,SPCIQ_ID,link_score,CompanyName-sp,Country
OrgHarvest Inc,TTWNCR,Agriculture,Specialty Crops,Marijuana Growing/Cultivation,USA,ORGH,A,L,30125813,100.0,"OrgHarvest, Inc.",United States
"BOTS, Inc.",LIFTEC,Agriculture,Specialty Crops,Marijuana Growing/Cultivation,USA,BTZI,A,L,53031257,100.0,"BOTS, Inc.",United States
Dakshidin Corp.,AVRAD,Agriculture,Specialty Crops,Marijuana Growing/Cultivation,USA,DKSC,A,L,7828434,100.0,"Dakshidin Corporation, Inc.",United States
"Corix Bioscience, Inc.",GRBKRN,Agriculture,Specialty Crops,Marijuana Growing/Cultivation,USA,CXBS,A,L,423382335,100.0,"Corix Bioscience, Inc.",United States
"Integrated Cannabis Solutions, Inc.",PSHINT,Agriculture,Specialty Crops,Marijuana Growing/Cultivation,USA,IGPK,A,L,26364728,100.0,"Integrated Cannabis Solutions, Inc.",United States
"Clever Leaves Holdings, Inc.",IPKURC,Agriculture,Specialty Crops,Marijuana Growing/Cultivation,USA,CLVR,A,L,536633415,100.0,Clever Leaves Holdings Inc.,Colombia
Buscar Co.,SWXTP,Agriculture,Livestock,Livestock Farming,USA,CGLD,A,L,134234241,100.0,Buscar Company,United States
"Sipp Industries, Inc.",FICAFI,Agriculture,Specialty Crops,Marijuana Growing/Cultivation,USA,SIPC,A,L,40424487,100.0,"Sipp Industries, Inc.",United States
"Blum Holdings, Inc.",CVXDPD,Agriculture,Specialty Crops,Marijuana Growing/Cultivation,USA,BLMH,A,L,130650835,100.0,"Blum Holdings, Inc.",United States
Tejon Ranch Co.,TEJR,Agriculture,Other Agriculture,Farming,USA,TRC,A,L,307229,100.0,Tejon Ranch Co.,United States
American Vanguard Corp.,AMVNG,Agriculture,Agri-Inputs & Support,Pesticides,USA,AVD,A,L,250532,100.0,American Vanguard Corporation,United States
"Mission Produce, Inc.",MISPRO,Agriculture,Crop Farming,Tree Nut Farming,USA,AVO,A,L,153986005,100.0,"Mission Produce, Inc.",United States
J.G. Boswell Co.,BOJG,Agriculture,Crop Farming,Cotton/Silk Farming,USA,BWEL,A,L,3103400,100.0,JG Boswell Company,United States
"Sunset Island Group, Inc.",HIPH,Agriculture,Specialty Crops,Marijuana Growing/Cultivation,USA,SIGO,A,L,424170546,100.0,"Sunset Island Group, Inc.",United States
Limoneira Co.,LMNEIR,Agriculture,Specialty Crops,Citrus Groves,USA,LMNR,A,L,3167517,100.0,Limoneira Company,United States
"Medicine Man Technologies, Inc.",MQDTEC,Agriculture,Specialty Crops,Marijuana Growing/Cultivation,USA,SHWZ,A,L,275007206,100.0,"Medicine Man Technologies, Inc.",United States
"AmeriCann, Inc.",NVHSOB,Agriculture,Specialty Crops,Marijuana Growing/Cultivation,USA,ACAN,A,L,117550603,100.0,"AmeriCann, Inc.",United States
Western Sierra Resource Corp.,GLCHMN,Agriculture,Specialty Crops,Marijuana Growing/Cultivation,USA,WSRC,A,L,8081009,100.0,Western Sierra Resource Corporation,United States
"urban-gro, Inc.",UGROL,Agriculture,Specialty Crops,Marijuana Growing/Cultivation,USA,UGRO,A,L,431844712,100.0,"urban-gro, Inc.",United States
"Pure Harvest Corporate Group, Inc.",FBFEWA,Agriculture,Specialty Crops,Marijuana Growing/Cultivation,USA,PHCG,A,L,430010479,100.0,"Pure Harvest Corporate Group, Inc.",United States
S&W Seed Co.,SAWSEC,Agriculture,Agri-Inputs & Support,Seeds,USA,SANW,A,L,88460738,100.0,S&W Seed Company,United States
Calipharms Inc.,MIXMIN,Agriculture,Specialty Crops,Marijuana Growing/Cultivation,USA,KGET,A,L,639218,100.0,"CaliPharms, Inc.",United States
"Mushrooms, Inc.",MJSOGI,Agriculture,Specialty Crops,Vegetable Growing,USA,MSRM,A,L,23671978,100.0,Mushrooms Inc.,United States
"Alico, Inc.",ALCO,Agriculture,Other Agriculture,Farming,USA,ALCO,A,L,248533,100.0,"Alico, Inc.",United States
Amazonas Florestal Ltd.,MZNFLO,Agriculture,Forestry,Forestry/Logging,USA,AZFL,A,L,61236828,100.0,"Amazonas Florestal, Ltd",United States
The Mosaic Co.,MSCCMP,Agriculture,Agri-Inputs & Support,Fertilizers,USA,MOS,A,L,890498,100.0,The Mosaic Company,United States
"Trans Global Group, Inc.",TLTKC,Agriculture,Specialty Crops,Marijuana Growing/Cultivation,USA,TGGI,A,L,1795598723,100.0,Trans Global Group Inc.,China
"Cresco Labs, Inc.",CRSCZZ,Agriculture,Specialty Crops,Marijuana Growing/Cultivation,USA,CL,A,L,262247,100.0,Colgate-Palmolive Company,United States
"CF Industries Holdings, Inc.",CFIND,Agriculture,Agri-Inputs & Support,Fertilizers,USA,CF,A,L,22357184,100.0,"CF Industries Holdings, Inc.",United States
"Elanco Animal Health, Inc.",XXFGDP,Agriculture,Agri-Inputs & Support,Animal Feed,USA,ELAN,A,L,576158911,100.0,Elanco Animal Health Incorporated,United States
"Corteva, Inc.",DOWAG,Agriculture,Agri-Inputs & Support,Pesticides,USA,CTVA,A,L,319130234,100.0,"Corteva, Inc.",United States
"CEVA, Inc.",PARCEV,Agriculture,Other Agriculture,Microprocessors/DSPs,USA,CEVA,A,L,3597563,100.0,"CEVA, Inc.",United States
"MariMed, Inc.",WORXOB,Agriculture,Specialty Crops,Marijuana Growing/Cultivation,USA,MRMD,A,L,276645250,100.0,MariMed Inc.,United States
Keweenaw Land Association Ltd.,KEWEEN,Agriculture,Forestry,Forestry/Logging,USA,KEWL,A,L,982117,100.0,"Keweenaw Land Association, Limited",United States
"Cal-Maine Foods, Inc.",CLMF,Agriculture,Livestock,Poultry Farming,USA,CALM,A,L,358944,100.0,"Cal-Maine Foods, Inc.",United States
