CompanyName-fss,CompanyCode-fss,Sector,SubSector,Industry,Region,Ticker,Status,ListStatus,SPCIQ_ID,link_score,CompanyName-sp,Country
Stratus Capital Corp.,ONEDEN,Construction,Building Construction,Residential Building Construction,USA,SRUS,A,L,3553345,100.0,Stratus Capital Corp.,United States
"Construction Partners, Inc.",TKYCBP,Construction,Heavy/Civil Construction,Highway/Street Construction,USA,ROAD,A,L,5537074,100.0,"Construction Partners, Inc.",United States
"Cavco Industries, Inc.",CVCO,Construction,Building Construction,Residential Building Construction,USA,CVCO,A,L,258733,100.0,"Cavco Industries, Inc.",United States
"Cyber Enviro-Tech, Inc.",BIOLEC,Construction,Heavy/Civil Construction,Water Treatment Plant Construction,USA,CETI,A,L,82766275,100.0,"Cyber Enviro-Tech, Inc.",United States
Meritage Homes Corp.,EMDMI,Construction,Building Construction,Residential Building Construction,USA,MTH,A,L,178296,100.0,Meritage Homes Corporation,United States
Taylor Morrison Home Corp.,WOOTAI,Construction,Building Construction,Residential Building Construction,USA,TMHC,A,L,224946128,100.0,Taylor Morrison Home Corporation,United States
Almco Plumbing  Inc.,UEJQAS,Construction,Specialty Trades,Plumbing Contractors,USA,ALMP,A,L,1830581699,100.0,"Almco Plumbing, Inc.",United States
"MC Endeavors, Inc.",MEESMC,Construction,Heavy/Civil Construction,Heavy Construction,USA,MSMY,A,L,536170090,100.0,"MC Endeavors, Inc.",United States
Shimmick Corp.,PJPKGI,Construction,Other Construction,Construction,USA,SHIM,A,L,1858145306,100.0,Shimmick Corporation,United States
KB Home,KAUFBH,Construction,Building Construction,Residential Building Construction,USA,KBH,A,L,283234,100.0,KB Home,United States
Tutor Perini Corp.,PERINI,Construction,Building Construction,Building Construction,USA,TPC,A,L,295969,100.0,Tutor Perini Corporation,United States
"Granite Construction, Inc.",GRACON,Construction,Heavy/Civil Construction,Heavy Construction,USA,GVA,A,L,275898,100.0,Granite Construction Incorporated,United States
"National Storm Management, Inc.",NSTORM,Construction,Specialty Trades,Special Trade Contractors,USA,NSMG,A,L,11813864,100.0,"National Storm Management, Inc.",United States
"Century Communities, Inc.",CCMMCL,Construction,Building Construction,Residential Building Construction,USA,CCS,A,L,237656125,100.0,"Century Communities, Inc.",United States
"Sprout Tiny Homes, Inc.",ASTSVC,Construction,Building Construction,Residential Building Construction,USA,STHI,A,L,1065343,100.0,"Sprout Tiny Homes, Inc.",United States
"Concrete Pumping Holdings, Inc.",EFJRKZ,Construction,Other Construction,Construction,USA,BBCP,A,L,580517200,100.0,"Concrete Pumping Holdings, Inc.",United States
"EMCOR Group, Inc.",JWAT,Construction,Other Construction,Construction,USA,EME,A,L,28014,100.0,"EMCOR Group, Inc.",United States
"Mastec, Inc.",BSIM,Construction,Heavy/Civil Construction,Transmission Line Construction,USA,MTZ,A,L,171604,100.0,"MasTec, Inc.",United States
TopBuild Corp.,PWAIBF,Construction,Specialty Trades,Special Trade Contractors,USA,BLD,A,L,273640140,100.0,TopBuild Corp.,United States
"Dream Finders Homes, Inc.",DFHMSL,Construction,Building Construction,Residential Building Construction,USA,DFH,A,L,549296186,100.0,"Dream Finders Homes, Inc.",United States
Coastal Capital Acquisition Corp.,EDGRFL,Construction,Other Construction,Concrete Building Products,USA,CCAJ,A,L,29072577,100.0,Coastal Capital Acquisition Corp.,United States
Lennar Corp.,LENC,Construction,Building Construction,Residential Building Construction,USA,LEN,A,L,30763,100.0,Lennar Corporation,United States
"Nobility Homes, Inc.",NOBH,Construction,Building Construction,Residential Building Construction,USA,NOBH,A,L,291367,100.0,"Nobility Homes, Inc.",United States
"Falcon’s Beyond Global, Inc.",QMEDJU,Construction,Design & Planning,Architects,USA,FBYD,A,L,1673338794,100.0,"Falcon's Beyond Global, Inc.",United States
"Dycom Industries, Inc.",DYMIN,Construction,Other Construction,Construction,USA,DY,A,L,268141,100.0,"Dycom Industries, Inc.",United States
"Beazer Homes USA, Inc.",BZHOM,Construction,Building Construction,Residential Building Construction,USA,BZH,A,L,332730,100.0,"Beazer Homes USA, Inc.",United States
"PulteGroup, Inc.",PUHO,Construction,Building Construction,Residential Building Construction,USA,PHM,A,L,294550,100.0,"PulteGroup, Inc.",United States
"SiteOne Landscape Supply, Inc.",JDEELI,Construction,Design & Planning,Landscaping/Gardening Services,USA,SITE,A,L,98514,100.0,"SiteOne Landscape Supply, Inc.",United States
Smith Douglas Homes Corp.,HSGKEY,Construction,Building Construction,Residential Building Construction,USA,SDHC,A,L,328847166,100.0,Smith Douglas Homes Corp.,United States
