CompanyName-fss,CompanyCode-fss,Sector,SubSector,Industry,Region,Ticker,Status,ListStatus,SPCIQ_ID,link_score,CompanyName-sp,Country
Sandy Steele Unlimited Inc,CMMWLH,Consumer Goods,Apparel & Textiles,Clothing,USA,SSTU,A,L,3178355,100.0,"Sandy Steele Unlimited, Inc.",United States
Pioneer Green Farms Inc.,RDQPVW,Consumer Goods,Tobacco & Cannabis,Marijuana Products,USA,PGFF,A,L,614164287,100.0,"Pioneer Green Farms, Inc.",United States
Growth Stalk Holdings Corp.,TVZOAC,Consumer Goods,Tobacco & Cannabis,Marijuana Products,USA,GSTK,A,L,1776648841,100.0,Growth Stalk Holdings Corp.,United States
LSEB Creative Corp.,NWNDEO,Consumer Goods,Apparel & Textiles,Clothing,USA,LSEB,A,L,1757389741,100.0,LSEB Creative Corp.,United States
1606 Corp,UOURUQ,Consumer Goods,Tobacco & Cannabis,Marijuana Products,USA,CBDW,A,L,1677080751,100.0,1606 Corp.,United States
Uncle's Ice Cream,IYYJWF,Consumer Goods,Food & Beverage,Dairy Frozen Desserts,USA,USIC,A,L,1796934472,100.0,Uncle's Ice Cream,United States
Red Eye Louies  Inc.,VODQUL,Consumer Goods,Food & Beverage,Alcoholic Beverages/Drinks,USA,RDEL,A,L,690368117,100.0,Red Eye Louie's Inc.,United States
House Of Jane  Inc.,AUAVGC,Consumer Goods,Tobacco & Cannabis,Marijuana Products,USA,HOJI,A,L,106677707,100.0,"House of Jane, Inc.",United States
"Lakeland Industries, Inc.",LAKLND,Consumer Goods,Apparel & Textiles,Clothing,USA,LAKE,A,L,283893,100.0,"Lakeland Industries, Inc.",United States
"Tiger Reef, Inc.",STRFME,Consumer Goods,Food & Beverage,Distilling,USA,TGRR,A,L,252452372,100.0,"Tiger Reef, Inc.",Canada
"The Alkaline Water Co., Inc.",BGYBFT,Consumer Goods,Food & Beverage,Bottled Water,USA,WTER,A,L,241584110,100.0,The Alkaline Water Company Inc.,United States
"Optigenex, Inc.",OPTGNN,Consumer Goods,Personal Care & Beauty,Skin Care Products,USA,OPGX,A,L,8962289,100.0,Optigenex Inc.,United States
"Resideo Technologies, Inc.",RQSDEO,Consumer Goods,Home & Household,Home Networking/Smart Appliances,USA,REZI,A,L,540151427,100.0,"Resideo Technologies, Inc.",United States
"Glucose Health, Inc.",BISUKP,Consumer Goods,Dietary Supplements,Dietary/Nutritional Supplements,USA,GLUC,A,L,39393511,100.0,"Glucose Health, Inc.",United States
Westrock Coffee Co.,DUHOHF,Consumer Goods,Food & Beverage,Coffee Products,USA,WEST,A,L,114929835,100.0,Westrock Coffee Company,United States
"Tyson Foods, Inc.",TYSF,Consumer Goods,Food & Beverage,Poultry Processing,USA,TSN,A,L,190636,100.0,"Tyson Foods, Inc.",United States
"Gen 2 Technologies, Inc.",BRKXW,Consumer Goods,Recreation & Electronics,Audio/Video Equipment,USA,MNIZ,A,L,142649995,100.0,Gen 2 Technologies Inc.,United States
Baja Custom Design Inc,BNSXSW,Consumer Goods,Home & Household,Household/Institutional/Street Furniture,USA,LDSN,A,L,664870513,100.0,Luduson G Inc.,Hong Kong
"Lyric Jeans, Inc.",SNERGY,Consumer Goods,Apparel & Textiles,Clothing,USA,LYJN,A,L,25848023,100.0,"Lyric Jeans, Inc.",United States
Drinks Americas Holdings  Ltd.,VICUNA,Consumer Goods,Food & Beverage,Alcoholic Beverages/Drinks,USA,DKAM,A,L,21826835,100.0,"Drinks Americas Holdings, Ltd.",United States
Kimo Inc,YDSZRT,Consumer Goods,Food & Beverage,Distilling,USA,KIMO,A,L,1801753392,100.0,"Kimo, Inc.",United States
Tech World Capital  Inc.,KOALC,Consumer Goods,Recreation & Electronics,Toys/Games,USA,KARE,A,L,107139012,100.0,Koala Corporation,United States
"Seychelle Environmental Technologies, Inc.",RYLNTI,Consumer Goods,Home & Household,Houseware,USA,SYEV,A,L,1736392,100.0,"Seychelle Environmental Technologies, Inc.",United States
"Davi Luxury Brand Group, Inc.",DAFOEC,Consumer Goods,Personal Care & Beauty,Skin Care Products,USA,MDAV,A,L,51936423,100.0,"Davi Luxury Brand Group, Inc.",United States
