CompanyName-fss,CompanyCode-fss,Sector,SubSector,Industry,Region,Ticker,Status,ListStatus,SPCIQ_ID,link_score,CompanyName-sp,Country
Blockchain Institute of Technology Inc.,ZUDUUY,Education,Vocational & Professional,Professional/Management Training,USA,BXNS,A,L,1679176268,100.0,Blockchain Institute of Technology Inc.,United States
"Zovio, Inc.",BEDCTI,Education,General Education,Educational Services,USA,ZVOI,A,L,20609524,100.0,Zovio Inc,United States
"Grand Canyon Education, Inc.",GCNYE,Education,General Education,Educational Services,USA,LOPE,A,L,44732496,100.0,"Grand Canyon Education, Inc.",United States
"Aspen Group, Inc.",HIDDZL,Education,General Education,Educational Services,USA,ASPU,A,L,128912902,100.0,"Aspen Group, Inc.",United States
"Coursera, Inc.",HBQUPL,Education,General Education,Educational Services,USA,COUR,A,L,204604732,100.0,"Coursera, Inc.",United States
"Udemy, Inc.",UDEMYI,Education,General Education,Educational Services,USA,UDMY,A,L,112762633,100.0,"Udemy, Inc.",United States
"Chegg, Inc.",COQQYQ,Education,General Education,Educational Services,USA,CHGG,A,L,27918871,100.0,"Chegg, Inc.",United States
ProBility Media Corp.,NEFEI,Education,Vocational & Professional,Professional/Management Training,USA,PBYA,A,L,402468329,100.0,ProBility Media Corporation,United States
"Laureate Education, Inc.",SYLVLE,Education,General Education,Educational Services,USA,LAUR,A,L,34999,100.0,"Laureate Education, Inc.",United States
Perdoceo Education Corp.,CAREDU,Education,General Education,Educational Services,USA,PRDO,A,L,377135,100.0,Perdoceo Education Corporation,United States
"DrazCanna, Inc.",NTMSCT,Education,General Education,Educational Services,USA,DZCA,A,L,116536671,100.0,"DrazCanna, Inc.",United States
"Asia Broadband, Inc.",ASIAB,Education,General Education,Educational Services,USA,AABB,A,L,3103130,100.0,"Asia Broadband, Inc.",United States
"American Education Center, Inc.",ISNSWW,Education,General Education,Educational Services,USA,AMCT,A,L,280293470,100.0,"American Education Center, Inc.",United States
EpicQuest Education Group International Ltd.,NVPCPA,Education,General Education,Educational Services,USA,EEIQ,A,L,643260020,100.0,EpicQuest Education Group International Limited,United States
"National American University Holdings, Inc.",CMDLRC,Education,General Education,Educational Services,USA,NAUH,A,L,4436309,100.0,"National American University Holdings, Inc.",United States
Franklin Covey Co.,FRANKQ,Education,Vocational & Professional,Professional/Management Training,USA,FC,A,L,318627,100.0,Franklin Covey Co.,United States
Graham Holdings Co.,WSHPST,Education,General Education,Educational Services,USA,GHC,A,L,91675,100.0,Graham Holdings Company,United States
"Strategic Education, Inc.",STRA,Education,General Education,Educational Services,USA,STRA,A,L,361761,100.0,"Strategic Education, Inc.",United States
"Stride, Inc.",KTWEL,Education,General Education,Educational Services,USA,LRN,A,L,4973712,100.0,"Stride, Inc.",United States
"American Public Education, Inc.",AMPBED,Education,General Education,Educational Services,USA,APEI,A,L,25024657,100.0,"American Public Education, Inc.",United States
"Classover Holdings, Inc.",DZEGVT,Education,General Education,Educational Services,USA,,A,L,1773311882,99.95,"Classover Holdings, Inc.",United States
Hsi Workplace Compliance Solutions  Inc.,VIVLS,Education,General Education,Educational Services,USA,,A,L,1945863443,99.71,"Hsi Workplace Compliance Solutions, Inc.",United States
"NP Life Sciences Health Industry Group, Inc.",VHCYHA,Education,General Education,Educational Services,USA,NPLS,A,L,626792431,99.57,"Acasia Technology, Inc.",United States
Education Management Corp.,EDUMAN,Education,General Education,Educational Services,USA,EDMCQ,A,L,6666658,99.37,Education Management Corporation,United States
Vcampus Corporation,UOLPUB,Education,Vocational & Professional,Professional/Management Training,USA,VCMP,A,L,1962491865,25.26,Campus Corp.,Taiwan
