CompanyName-fss,CompanyCode-fss,Sector,SubSector,Industry,Region,Ticker,Status,ListStatus,SPCIQ_ID,link_score,CompanyName-sp,Country
"Republic Services, Inc.",RPBSRV,Environmental Services,Waste Management,Waste Management/Recycling Services,USA,RSG,A,L,386225,100.0,"Republic Services, Inc.",United States
NanoFlex Power Corp.,UVTYSY,Environmental Services,Waste Management,Waste Management/Recycling Services,USA,OPVS,A,L,7060673,100.0,NanoFlex Power Corporation,United States
"Mesa Home Resources, Inc.",ITHIN,Environmental Services,Waste Management,Waste Management/Recycling Services,USA,MHRE,A,L,45589915,100.0,Mesa Home Resources Inc.,United States
"Scope Industries, Inc.",SCPIN,Environmental Services,Waste Management,Waste Management/Recycling Services,USA,SCPJ,A,L,302111,100.0,Scope Industries,United States
The Tirex Corp.,TIREXA,Environmental Services,Waste Management,Waste Management/Recycling Services,USA,TXMC,A,L,779414,100.0,The Tirex Corporation,United States
"CES Synergies, Inc.",GRLVNC,Environmental Services,Waste Management,Waste Management/Recycling Services,USA,CESX,A,L,4534264,100.0,"CES Synergies, Inc.",United States
"National Waste Management Holdings, Inc.",KOPJAI,Environmental Services,Waste Management,Environment/Waste Management,USA,NWMH,A,L,272618269,100.0,"National Waste Management Holdings, Inc.",United States
RenuEn Corp.,TNLGYR,Environmental Services,Waste Management,Environment/Waste Management,USA,RENU,A,L,41018344,100.0,RenuEn Corporation,United States
Quad Energy Corp.,AQFTPK,Environmental Services,Waste Management,Waste Management/Recycling Services,USA,CDID,A,L,12455778,100.0,Quad Energy Corporation,United States
"Purecycle Technologies, Inc.",MPQNGJ,Environmental Services,Waste Management,Waste Sorting/Recycling,USA,PCT,A,L,582019472,100.0,"PureCycle Technologies, Inc.",United States
Media Pal Holdings Corp.,RCSULP,Environmental Services,Waste Management,Waste Management/Recycling Services,USA,MPHD,A,L,368527,100.0,"Media Pal Holdings, Corp.",United States
"Perma-Fix Environmental Services, Inc.",PERMAF,Environmental Services,Waste Management,Waste Management/Recycling Services,USA,PESI,A,L,326976,100.0,"Perma-Fix Environmental Services, Inc.",United States
"Rollins, Inc.",ROLINC,Environmental Services,Pest Control,Exterminating/Pest Control Services,USA,ROL,A,L,300753,100.0,"Rollins, Inc.",United States
