CompanyName-fss,CompanyCode-fss,Sector,SubSector,Industry,Region,Ticker,Status,ListStatus,SPCIQ_ID,link_score,CompanyName-sp,Country
Medinotec Inc,BJFEKQ,Healthcare,Medical Devices,Medical Devices/Apparatus,USA,MDNC,A,L,1785408229,100.0,Medinotec Inc.,South Africa
Neurobiological Technologies Inc,NTI,Healthcare,Pharmaceuticals,Pharmaceuticals,USA,NTII,A,L,330307,100.0,"Neurobiological Technologies, Inc.",United States
Royalty Pharma AG,RYLTYP,Healthcare,Pharmaceuticals,Pharmaceuticals,USA,RPRX,A,L,669151476,100.0,Royalty Pharma plc,United States
Cullinan Therapeutics Inc.,TYNIFE,Healthcare,Pharmaceuticals,Biopharmaceuticals,USA,CGEM,A,L,539392639,100.0,"Cullinan Therapeutics, Inc.",United States
Tempus AI Inc.,XHJDAE,Healthcare,Other Healthcare,Healthcare Information Technologies,USA,TEM,A,L,421843712,100.0,"Tempus AI, Inc.",United States
Nika Pharmaceuticals Inc.,QTRROI,Healthcare,Pharmaceuticals,Pharmaceuticals,USA,NIKA,A,L,49648411,100.0,"Nika Pharmaceuticals, Inc.",United States
"Atlantis Glory, Inc.",GLEMGP,Healthcare,Healthcare Services,Healthcare Provision,USA,AGLY,A,L,644788333,100.0,Atlantis Glory Inc.,Hong Kong
"QDM International, Inc.",JRTFVR,Healthcare,Healthcare Services,Healthcare Provision,USA,QDMI,A,L,710663301,100.0,QDM International Inc.,Hong Kong
"Sonendo, Inc.",UORFEE,Healthcare,Dental & Vision,Dental Equipment/Implants,USA,SONX,A,L,139196613,100.0,"Sonendo, Inc.",United States
Roivant Sciences Ltd.,UJGLUY,Healthcare,Pharmaceuticals,Pharmaceuticals,USA,ROIV,A,L,282015801,100.0,Roivant Sciences Ltd.,United Kingdom
QT Imaging Holdings Inc,EPTEFC,Healthcare,Medical Devices,Medical Equipment/Supplies,USA,QTI,A,L,226264408,100.0,"QT Imaging Holdings, Inc.",United States
Vincerx Pharma Inc.,TKFNML,Healthcare,Pharmaceuticals,Biopharmaceuticals,USA,VINC,A,L,690173412,100.0,"Vincerx Pharma, Inc.",United States
Rest EZ Inc.,OBWMEN,Healthcare,Pharmaceuticals,Pharmaceuticals,USA,RTEZ,A,L,556190779,100.0,"Rest EZ, Inc.",United States
Southwestern Medical Solutions Inc,SWMEDS,Healthcare,Medical Devices,Medical Devices/Apparatus,USA,SWNM,A,L,9280934,100.0,"Southwestern Medical Solutions, Inc.",United States
Envoy Medical Inc.,MMWFRW,Healthcare,Medical Devices,Diagnostic/Therapeutic Devices,USA,COCH,A,L,3160728,100.0,"Envoy Medical, Inc.",United States
Encompass Health Corp.,HEARE,Healthcare,Healthcare Services,Outpatient Care,USA,EHC,A,L,29374,100.0,Encompass Health Corporation,United States
"CannaPharmaRx, Inc.",CAVION,Healthcare,Pharmaceuticals,Natural/Alternative Drugs,USA,CPMD,A,L,264271502,100.0,"CannaPharmaRX, Inc.",Canada
"Avitar, Inc.",MNHBEN,Healthcare,Medical Devices,Medical Devices/Apparatus,USA,AVTI,A,L,346840,100.0,"Avitar, Inc.",United States
"Creative Medical Technology Holdings, Inc.",JLLYMI,Healthcare,Biotech & Research,Stem Cell Research,USA,CELZ,A,L,326119455,100.0,"Creative Medical Technology Holdings, Inc.",United States
For the Earth Corp.,MDJETI,Healthcare,Medical Devices,Medical Equipment/Supplies,USA,FTEG,A,L,117583235,100.0,For The Earth Corp.,United States
"Invech Holdings, Inc.",EXPLTH,Healthcare,Pharmaceuticals,Pharmaceuticals,USA,IVHI,A,L,4776069,100.0,"Invech Holdings, Inc.",United States
Journey Medical Corp.,JRNYMC,Healthcare,Pharmaceuticals,Biopharmaceuticals,USA,DERM,A,L,280596341,100.0,Journey Medical Corporation,United States
"Lifestance Health Group, Inc.",ONBWIM,Healthcare,Healthcare Services,Mental Healthcare,USA,LFST,A,L,715141243,100.0,"LifeStance Health Group, Inc.",United States
"Electromedical Technologies, Inc.",RCNAQN,Healthcare,Medical Devices,Medical Devices/Apparatus,USA,EMED,A,L,538149262,100.0,"Electromedical Technologies, Inc.",United States
"Retrieve Medical Holdings, Inc.",SUAMOS,Healthcare,Pharmaceuticals,Natural/Alternative Drugs,USA,RMHI,A,L,1831065143,100.0,Retrieve Medical Holdings Inc,United States
The Joint Corp. (United States),YIKYZS,Healthcare,Other Healthcare,Alternative Health Practitioners,USA,JYNT,A,L,272561151,100.0,The Joint Corp.,United States
"Align Technology, Inc.",ALIGNT,Healthcare,Medical Devices,Medical Devices/Apparatus,USA,ALGN,A,L,24568,100.0,"Align Technology, Inc.",United States
"WEED, Inc.",UMINI,Healthcare,Pharmaceuticals,Natural/Alternative Drugs,USA,BUDZ,A,L,51882966,100.0,"WEED, Inc.",United States
WellQuest Medical & Wellness Corp.,WEQLPK,Healthcare,Other Healthcare,Doctors/Physicians,USA,WEQL,A,L,41131607,100.0,WellQuest Medical & Wellness Corporation,United States
