CompanyName-fss,CompanyCode-fss,Sector,SubSector,Industry,Region,Ticker,Status,ListStatus,SPCIQ_ID,link_score,CompanyName-sp,Country
Fast Casual Concepts Inc.,YCLLJG,Hospitality,Food & Drink,Restaurants/Caterers,USA,FCCI,A,L,662620345,100.0,"Fast Casual Concepts, Inc.",United States
Atour Lifestyle Holdings Ltd.,UKWTDR,Hospitality,Lodging,Hotels/Motels,USA,ATAT,A,L,717764235,100.0,Atour Lifestyle Holdings Limited,China
Silverback United  Inc.,MLCPTZ,Hospitality,Travel & Tourism,Tourism,USA,MLCG,A,L,1769679859,100.0,"ML Capital Group, Inc.",United States
"Blue Water Global Group, Inc.",BWRGI,Hospitality,Food & Drink,Full-service Restaurants,USA,BLUU,A,L,133484117,100.0,"Blue Water Global Group, Inc.",United States
InnSuites Hospitality Trust,RRF,Hospitality,Lodging,Hotels/Motels,USA,IHT,A,L,299555,100.0,InnSuites Hospitality Trust,United States
"Bassline Productions, Inc.",BAXXPR,Hospitality,Travel & Tourism,Tour Operators,USA,BSSP,A,L,331928198,100.0,"Baseline Productions, Inc.",United States
"Reborn Coffee, Inc.",LLRJAI,Hospitality,Food & Drink,Limited-Service Restaurants,USA,REBN,A,L,563187528,100.0,"Reborn Coffee, Inc.",United States
"Cheesecake Factory, Inc.",CHEFAC,Hospitality,Food & Drink,Full-service Restaurants,USA,CAKE,A,L,319496,100.0,The Cheesecake Factory Incorporated,United States
"GEN Restaurant Group, Inc.",WHFLSD,Hospitality,Food & Drink,Full-service Restaurants,USA,GENK,A,L,1838854195,100.0,"GEN Restaurant Group, Inc.",United States
"Chilco River Holdings, Inc.",CHILRV,Hospitality,Lodging,Hotels/Motels,USA,CRVH,A,L,662501662,100.0,"Chilco River Holdings, Inc.",United States
"U-Swirl, Inc.",HFSTFD,Hospitality,Food & Drink,Restaurants/Caterers,USA,SWRL,A,L,265610073,100.0,"U-Swirl, Inc.",United States
"El Pollo Loco Holdings, Inc.",ELPLOC,Hospitality,Food & Drink,Restaurants/Caterers,USA,LOCO,A,L,21919911,100.0,"El Pollo Loco Holdings, Inc.",United States
"MVP Holdings, Inc.",PTRVNI,Hospitality,Travel & Tourism,Travel Agencies,USA,MVPT,A,L,26180478,100.0,MVP Holdings Inc.,United States
"BJs Restaurants, Inc.",CHGPIZ,Hospitality,Food & Drink,Full-service Restaurants,USA,BJRI,A,L,374469,100.0,"BJ's Restaurants, Inc.",United States
"Kura Sushi USA, Inc.",KULWII,Hospitality,Food & Drink,Restaurants/Caterers,USA,KRUS,A,L,627002367,100.0,"Kura Sushi USA, Inc.",United States
"Makamer Holdings, Inc.",IVRIGO,Hospitality,Food & Drink,Limited-Service Restaurants,USA,HWIN,A,L,1777396902,100.0,"Hometown International, Inc.",United States
"Portsmouth Square, Inc.",PORTSQ,Hospitality,Lodging,Hotels/Motels,USA,PRSI,A,L,3175908,100.0,"Portsmouth Square, Inc.",United States
"Sweetgreen, Inc.",SWTGIN,Hospitality,Food & Drink,Restaurants/Caterers,USA,SG,A,L,82334289,100.0,"Sweetgreen, Inc.",United States
"Chipotle Mexican Grill, Inc.",CHIPMG,Hospitality,Food & Drink,Limited-Service Restaurants,USA,CMG,A,L,26446,100.0,"Chipotle Mexican Grill, Inc.",United States
"Dine Brands Global, Inc.",INTHOP,Hospitality,Food & Drink,Restaurants/Caterers,USA,DIN,A,L,30133,100.0,"Dine Brands Global, Inc.",United States
"Hartford Creative Group, Inc.",PHOOAM,Hospitality,Travel & Tourism,Tourism,USA,HFUS,A,L,90012178,100.0,"Hartford Creative Group, Inc.",United States
"Airbnb, Inc.",AIRBAB,Hospitality,Lodging,Lodgings,USA,ABNB,A,L,115705393,100.0,"Airbnb, Inc.",United States
Noodles & Co.,NOODAC,Hospitality,Food & Drink,Full-service Restaurants,USA,NDLS,A,L,8101881,100.0,Noodles & Company,United States
"Vail Resorts, Inc.",VAILRE,Hospitality,Lodging,Hotels/Motels,USA,MTN,A,L,36122,100.0,"Vail Resorts, Inc.",United States
"Carriage House Event Center, Inc.",VGKVSF,Hospitality,Food & Drink,Caterers,USA,CRGH,A,L,652762297,100.0,Zhonghe Brand Yunjigou Technology Inc.,China
"The ONE Group Hospitality, Inc.",ACQCRI,Hospitality,Food & Drink,Restaurants/Caterers,USA,STKS,A,L,178845148,100.0,"The ONE Group Hospitality, Inc.",United States
"Red Robin Gourmet Burgers, Inc.",REROBI,Hospitality,Food & Drink,Full-service Restaurants,USA,RRGB,A,L,131943,100.0,"Red Robin Gourmet Burgers, Inc.",United States
"Good Times Restaurants, Inc.",GDTIM,Hospitality,Food & Drink,Full-service Restaurants,USA,GTIM,A,L,275719,100.0,Good Times Restaurants Inc.,United States
"Booking Holdings, Inc.",PRCLN,Hospitality,Travel & Tourism,Tourism,USA,BKNG,A,L,33254,100.0,Booking Holdings Inc.,United States
"Cava Group, Inc.",DHGLRU,Hospitality,Food & Drink,Restaurants/Caterers,USA,CAVA,A,L,291711182,100.0,"CAVA Group, Inc.",United States
Westamerica Corp,ECCEN,Hospitality,Lodging,Hotels/Motels,USA,WACC,A,L,267967,100.0,WestAmerica Corporation,United States
"iPic Entertainment, Inc.",IPICEL,Hospitality,Food & Drink,Bars/Public Houses/Nightclubs,USA,IPIC,A,L,108810705,100.0,iPic Entertainment Inc.,United States
"First Watch Restaurant Group, Inc.",ZDMFLL,Hospitality,Food & Drink,Limited-Service Restaurants,USA,FWRG,A,L,1680518858,100.0,"First Watch Restaurant Group, Inc.",United States
"Kisses From Italy, Inc.",KFITNT,Hospitality,Food & Drink,Full-service Restaurants,USA,KITL,A,L,264430810,100.0,Kisses From Italy Inc.,United States
