CompanyName-fss,CompanyCode-fss,Sector,SubSector,Industry,Region,Ticker,Status,ListStatus,SPCIQ_ID,link_score,CompanyName-sp,Country
ConneXionONE Corp.,CRESPM,Manufacturing,Automotive,Vehicle Engine/Engine Parts,USA,CNNN,A,L,2036881,100.0,ConneXionONE Corp.,United States
Solidion Technology Inc,WQZHEK,Manufacturing,Instruments & Electronics,Batteries,USA,STI,A,L,1826283671,100.0,"Solidion Technology, Inc.",United States
"Intuitive Machines, Inc.",IPCJIR,Manufacturing,Aerospace & Defense,Aerospace Products/Parts,USA,LUNR,A,L,710155302,100.0,"Intuitive Machines, Inc.",United States
Thunder Power Holdings Inc.,ZISNNE,Manufacturing,Automotive,Alternative Fuel Vehicles,USA,AIEV,A,L,325651761,100.0,"Thunder Power Holdings, Inc.",United States
SSHT S&T Group Ltd.,PSTCUS,Manufacturing,Automotive,Automotive Telematics,USA,SSHT,A,L,380608,100.0,SSHT S&T Group Ltd.,New Zealand
"Curtiss Motorcycles Co., Inc.",FCHPRI,Manufacturing,Automotive,Motorcycles,USA,CMOT,A,L,53069194,100.0,"Curtiss Motorcycles Company, Inc.",United States
ROSINBOMB,LNTPPK,Manufacturing,Industrial Machinery,Chemical Industry Machinery,USA,ROSN,A,L,426774242,100.0,Rosinbomb,United States
"Elio Motors, Inc.",VYVSEL,Manufacturing,Automotive,Passenger Cars,USA,ELIO,A,L,141045816,100.0,"Elio Motors, Inc.",United States
"Trutankless, Inc.",ACBRPK,Manufacturing,Industrial Machinery,Heating/Cooling/Air Treatment Equipment,USA,TKLS,A,L,128308313,100.0,"Trutankless, Inc.",United States
"AER Energy Resources, Inc.",AERES,Manufacturing,Instruments & Electronics,Batteries,USA,AERN,A,L,199867,100.0,"AER Energy Resources, Inc",United States
"Beamz Interactive, Inc.",BEAMZI,Manufacturing,Other Manufacturing,Musical Instruments,USA,BZIC,A,L,106595296,100.0,"Beamz Interactive, Inc.",United States
"AMMO, Inc.",RETSPE,Manufacturing,Aerospace & Defense,Firearms,USA,POWW,A,L,418572555,100.0,Outdoor Holding Company,United States
"Axon Enterprise, Inc.",TASRIN,Manufacturing,Aerospace & Defense,Firearms,USA,AXON,A,L,885779,100.0,"Axon Enterprise, Inc.",United States
"DAC Technologies Group International, Inc.",DCGRP,Manufacturing,Aerospace & Defense,Firearms,USA,DAAT,A,L,415022,100.0,"DAC Technologies Group International, Inc.",United States
"SPO Networks, Inc.",WLLSLV,Manufacturing,Automotive,Vehicle Engine/Engine Parts,USA,SPOI,A,L,7290202,100.0,"SPO Networks, Inc.",United States
"JB&ZJMY Holding Co., Inc.",DOLVOB,Manufacturing,Instruments & Electronics,Batteries,USA,JBZY,A,L,100852888,100.0,"JB&ZJMY Holding Company, Inc.",China
Sysorex International  Inc,SFTLED,Manufacturing,Aerospace & Defense,Aerospace Products/Parts,USA,XTIA,A,L,301042423,100.0,"XTI Aerospace, Inc.",United States
Cermetek Microelectronics Inc.,CERML,Manufacturing,Other Manufacturing,Telecommunications Equipment,USA,CRMK,A,L,3103626,100.0,"Cermetek Microelectronics, Inc.",United States
"indie Semiconductor, Inc.",EOOEEN,Manufacturing,Automotive,Autonomous Driving Technologies,USA,INDI,A,L,306114426,100.0,"indie Semiconductor, Inc.",United States
"Willdan Group, Inc.",WGOCT,Manufacturing,Other Manufacturing,Engineering Services,USA,WLDN,A,L,4331586,100.0,"Willdan Group, Inc.",United States
Aimrite Holdings Corp.,DRNKWL,Manufacturing,Automotive,Motor Vehicle Parts,USA,AIMH,A,L,2947444,100.0,Aimrite Holdings Corporation,United States
"AmeraMex International, Inc.",AFFINC,Manufacturing,Other Manufacturing,Industrial Equipment Rental/Leasing,USA,AMMX,A,L,1039630,100.0,"AmeraMex International, Inc.",United States
"Ducommun, Inc.",DCO,Manufacturing,Aerospace & Defense,Aircraft Engines,USA,DCO,A,L,267761,100.0,Ducommun Incorporated,United States
Jacksam Corp.,TRDWAR,Manufacturing,Industrial Machinery,Handling Equipment,USA,JKSM,A,L,418637867,100.0,Jacksam Corporation,United States
"Actelis Networks, Inc.",ACTENT,Manufacturing,Other Manufacturing,Broadband Equipment,USA,ASNS,A,L,108649,100.0,"Actelis Networks, Inc.",United States
