CompanyName-fss,CompanyCode-fss,Sector,SubSector,Industry,Region,Ticker,Status,ListStatus,SPCIQ_ID,link_score,CompanyName-sp,Country
JELD-WEN Holding Inc,JLDW,Materials,Building Materials,Building Materials/Products,USA,JELD,A,L,141581761,100.0,"JELD-WEN Holding, Inc.",United States
Hunt Gold Corp,STARIN,Materials,Metals & Mining,Gold Ore Mining,USA,HGLC,A,L,39148922,100.0,Hunt Gold Corporation,United States
"Pacific Conquest Holdings, Inc.",WILCRE,Materials,Metals & Mining,Mining/Quarrying,USA,PCHK,A,L,638075445,100.0,"Pacific Conquest Holdings, Inc.",Hong Kong
Vulcan Materials Co.,BATCH,Materials,Building Materials,Cement/Ready-mix Concrete,USA,VMC,A,L,312769,100.0,Vulcan Materials Company,United States
"Calissio Resources Group, Inc.",EXMLTC,Materials,Metals & Mining,Copper Ore/Nickel Ore Mining,USA,CRGP,A,L,1923093,100.0,"Calissio Resources Group, Inc.",United States
"Freeport-McMoRan, Inc.",FMCC,Materials,Metals & Mining,Copper Ore/Nickel Ore Mining,USA,FCX,A,L,273607,100.0,Freeport-McMoRan Inc.,United States
"DBM Global, Inc.",SHUFST,Materials,Other Materials,Steel Production,USA,DBMG,A,L,362628,100.0,DBM Global Inc.,United States
Southern Copper Corp.,SPCC,Materials,Metals & Mining,Copper Ore/Nickel Ore Mining,USA,SCCO,A,L,350405,100.0,Southern Copper Corporation,United States
"El Capitan Precious Metals, Inc.",DMLSRV,Materials,Metals & Mining,Gold Ore Mining,USA,ECPN,A,L,3734598,100.0,"El Capitan Precious Metals, Inc.",United States
"Carlisle Cos., Inc.",CRLSLE,Materials,Building Materials,Building Materials/Products,USA,CSL,A,L,258791,100.0,Carlisle Companies Incorporated,United States
"Bourque Industries, Inc.",GPGSL,Materials,Metals & Mining,Non-ferrous Metals,USA,BORK,A,L,113283957,100.0,"Bourque Industries, Inc.",United States
"Reliance, Inc.",RELSTL,Materials,Other Materials,Steel Production,USA,RS,A,L,331205,100.0,"Reliance, Inc.",United States
"International Silver, Inc.",ISLVOB,Materials,Metals & Mining,Silver Ore Mining,USA,ISLV,A,L,39217172,100.0,"International Silver, Inc.",United States
"Mercer International, Inc.",ASAMC,Materials,Paper & Packaging,Paper Mills,USA,MERC,A,L,251849,100.0,Mercer International Inc.,Canada
International Daleco Corporation,INDALE,Materials,Chemicals,Chemicals,USA,ILDO,A,L,3161775,100.0,International Daleco Corp.,United States
The Flamemaster Corporation,FLMSTR,Materials,Other Materials,Adhesives,USA,FAME,A,L,272943,100.0,Flamemaster Corporation,United States
Reno Gold Corp.,MCRMED,Materials,Metals & Mining,Gold Ore Mining,USA,RNGG,A,L,4289042,100.0,Reno Gold Corporation,Canada
Digilava  Inc.,BRTMCP,Materials,Metals & Mining,Gold Ore Mining,USA,WGEE,A,L,2983359,100.0,"Consolidated Gold Holdings, Inc.",United States
Idarado Mining Company Inc,BZXRDE,Materials,Metals & Mining,Mining/Quarrying,USA,IDAM,A,L,3159948,100.0,Idarado Mining Company,United States
"Therma-Med, Inc.",AQBUOY,Materials,Metals & Mining,Non-ferrous Metals,USA,THRA,A,L,771895,100.0,"Therma-Med, Inc.",United States
"North Bay Resources, Inc.",UTMJKB,Materials,Metals & Mining,Mining/Quarrying,USA,NBRI,A,L,12504911,100.0,North Bay Resources Inc.,United States
California Nanotechnologies Corp.,VRTKT,Materials,Chemicals,Chemicals,USA,CNO,A,L,93578,100.0,"CNO Financial Group, Inc.",United States
"Karat Packaging, Inc.",LOLLUI,Materials,Paper & Packaging,Packaging,USA,KRT,A,L,595871782,100.0,Karat Packaging Inc.,United States
"Greene Concepts, Inc.",ICITRU,Materials,Metals & Mining,Printing Inks,USA,INKW,A,L,27044506,100.0,"Greene Concepts, Inc.",United States
"Advanced Container Technologies, Inc.",SYNFLW,Materials,Plastics & Polymers,Plastic Containers/Packaging,USA,ACTX,A,L,692551921,100.0,"Advanced Container Technologies, Inc.",United States
"Tap Resources, Inc.",RVREXP,Materials,Metals & Mining,Gold Ore Mining,USA,TAPP,A,L,233625205,100.0,"Tap Resources, Inc.",Suriname
"PURE Bioscience, Inc.",INMDSV,Materials,Chemicals,Chemicals,USA,PURE,A,L,385751,100.0,"PURE Bioscience, Inc.",United States
"Ensurge, Inc.",ISOPER,Materials,Metals & Mining,Mining/Quarrying,USA,ESGI,A,L,1056776,100.0,"Ensurge, Inc.",United States
"5E Advanced Materials, Inc.",PYPNBG,Materials,Metals & Mining,Non-metallic Mineral Mining/Quarrying,USA,FEAM,A,L,432539524,100.0,"5E Advanced Materials, Inc.",United States
PureBase Corp.,PRCLIZ,Materials,Chemicals,Chemicals,USA,PUBC,A,L,280570155,100.0,PureBase Corporation,United States
