CompanyName-fss,CompanyCode-fss,Sector,SubSector,Industry,Region,Ticker,Status,ListStatus,SPCIQ_ID,link_score,CompanyName-sp,Country
"Silverton Adventures, Inc.",SIADIU,Other,Miscellaneous Services,Printing,USA,SVAD,A,L,49121718,100.0,"Silverton Adventures, Inc.",United States
SOARING EAGLE ACQUISITION CORP.,URSBBO,Other,Other Other,,USA,DNA,A,L,130407341,100.0,"Ginkgo Bioworks Holdings, Inc.",United States
Mobivity Holdings Corp.,ARESVC,Other,Miscellaneous Services,Direct Marketing,USA,MFON,A,L,36487015,100.0,Mobivity Holdings Corp.,United States
"Mister Car Wash, Inc.",VMJHDN,Other,Miscellaneous Services,Facility Cleaning Services,USA,MCW,A,L,329363059,100.0,"Mister Car Wash, Inc.",United States
"QuinStreet, Inc.",QINST,Other,Miscellaneous Services,Direct Marketing,USA,QNST,A,L,139426,100.0,"QuinStreet, Inc.",United States
"Scoobeez Global, Inc.",ABOTMI,Other,Miscellaneous Services,Sharing/On-demand Economy Services,USA,SCBZ,A,L,2946905,100.0,"Scoobeez Global, Inc.",United States
McGrath RentCorp,MCGR,Other,Miscellaneous Services,Rental/Leasing Services,USA,MGRC,A,L,286976,100.0,McGrath RentCorp,United States
"Starco Brands, Inc.",UYNVRL,Other,Miscellaneous Services,Direct Marketing,USA,STCB,A,L,158211290,100.0,"Starco Brands, Inc.",United States
"Exponent, Inc.",FLRGP,Other,Miscellaneous Services,Technical Services,USA,EXPO,A,L,270377,100.0,"Exponent, Inc.",United States
"Marqeta, Inc.",MARQET,Other,Miscellaneous Services,Billing Services,USA,MQ,A,L,134231191,100.0,"Marqeta, Inc.",United States
"Encore Capital Group, Inc.",MCMCAP,Other,Miscellaneous Services,Debt Recovery/Debt Collection Services,USA,ECPG,A,L,400829,100.0,"Encore Capital Group, Inc.",United States
"Heritage Global, Inc.",MEDCR,Other,Miscellaneous Services,Auction Houses,USA,HGBL,A,L,144256,100.0,Heritage Global Inc.,United States
"Gitlab, Inc.",GITLAB,Other,Miscellaneous Services,Technical Services,USA,GTLB,A,L,286753997,100.0,GitLab Inc.,United States
"DoorDash, Inc.",PALTOD,Other,Miscellaneous Services,Sharing/On-demand Economy Services,USA,DASH,A,L,243735719,100.0,"DoorDash, Inc.",United States
"Service Team, Inc.",SRETEM,Other,Miscellaneous Services,Product Repair Services,USA,SVTE,A,L,143676809,100.0,Service Team Inc.,United States
"Vitesse Energy, Inc.",QTNCAD,Other,Miscellaneous Services,Risk Management Services,USA,VTS,A,L,263855171,100.0,"Vitesse Energy, Inc.",United States
"Halitron, Inc.",TECKDG,Other,Miscellaneous Services,Marketing Services,USA,HAON,A,L,11166632,100.0,"Halitron, Inc.",United States
"Pitney Bowes, Inc.",PITBOW,Other,Miscellaneous Services,Rental/Leasing Services,USA,PBI,A,L,297018,100.0,Pitney Bowes Inc.,United States
SNM Global Holdings,HLYSHW,Other,Miscellaneous Services,Marketing Services,USA,SNMN,A,L,31338989,100.0,"SNM Global Holdings, Inc.",United States
"PPJ Healthcare Enterprises, Inc.",WINFGP,Other,Miscellaneous Services,Billing Services,USA,PPJE,A,L,10052656,100.0,"PPJ Healthcare Enterprises, Inc.",United States
iTeknik Holding Corp.,TLSIST,Other,Miscellaneous Services,Marketing Services,USA,ITKH,A,L,11045273,100.0,iTeknik Holding Corporation,United States
"Groupon, Inc.",GRPNIU,Other,Miscellaneous Services,Sales Promotion,USA,GRPN,A,L,82311805,100.0,"Groupon, Inc.",United States
"Compass Minerals International, Inc.",CPMINC,Other,Miscellaneous Services,Salt Extraction,USA,CMP,A,L,5381745,100.0,"Compass Minerals International, Inc.",United States
"Gifa, Inc.",FRFSIU,Other,Miscellaneous Services,Marketing Services,USA,GIFX,A,L,52086212,100.0,"GIFA, Inc.",Cyprus
"Harte-Hanks, Inc.",HHN,Other,Miscellaneous Services,Direct Marketing,USA,HHS,A,L,205525,100.0,"Harte Hanks, Inc.",United States
"Bright Horizons Family Solutions, Inc.",BRGTHO,Other,Miscellaneous Services,Child Day Care Services,USA,BFAM,A,L,25777,100.0,Bright Horizons Family Solutions Inc.,United States
"Stran & Co., Inc.",SACMIU,Other,Miscellaneous Services,Marketing Services,USA,SWAG,A,L,50988465,100.0,"Stran & Company, Inc.",United States
"SPAR Group, Inc.",PIAMER,Other,Miscellaneous Services,Marketing Services,USA,SGRP,A,L,407116,100.0,"SPAR Group, Inc.",United States
"Genuine Marketing Group, Inc.",VRTGVS,Other,Miscellaneous Services,Marketing Services,USA,GMGZ,A,L,1782381715,100.0,Genuine Marketing Group Inc.,United States
"Advantage Solutions, Inc. (California)",RNQZPY,Other,Miscellaneous Services,Marketing Services,USA,ADV,A,L,308072053,100.0,Advantage Solutions Inc.,United States
"Custom Truck One Source, Inc.",IAUZFO,Other,Miscellaneous Services,Rental/Leasing Services,USA,CTOS,A,L,609585883,100.0,"Custom Truck One Source, Inc.",United States
Pinelawn Cemetery,PNLAWN,Other,Miscellaneous Services,Funeral Services,USA,PLWN,A,L,3175649,100.0,Pinelawn Cemetery,United States
