CompanyName-fss,CompanyCode-fss,Sector,SubSector,Industry,Region,Ticker,Status,ListStatus,SPCIQ_ID,link_score,CompanyName-sp,Country
Hoops Scouting USA,GDATJF,Professional Services,HR & Staffing,Recruitment Services,USA,HSCT,A,L,542148515,100.0,Hoops Scouting USA,United States
"ABV Consulting, Inc.",ABVCNZ,Professional Services,Consulting,Management Consulting,USA,ABVN,A,L,263853406,100.0,"ABV Consulting, Inc.",Hong Kong
"Cosmos Group Holdings, Inc.",SHRDCR,Professional Services,Consulting,Marketing Consulting,USA,COSG,A,L,718905744,100.0,Grand Gallery Inc.,Hong Kong
"Labwire, Inc.",LABWRE,Professional Services,Consulting,Human Resources Consulting,USA,LBWR,A,L,20506673,100.0,"Labwire, Inc.",United States
"Intertech Solutions, Inc.",AMWIPK,Professional Services,Consulting,Business Consultancy,USA,ITEC,A,L,108533122,100.0,"Intertech Solutions , Inc.",United States
"Green Globe International, Inc.",APLLHO,Professional Services,Consulting,Environmental Consulting Services,USA,GGII,A,L,633310512,100.0,"Green Globe International, Inc.",United States
Simon Worldwide  Inc.,CYRKIN,Professional Services,Marketing & Research,Public Relations,USA,SWWI,A,L,27312,100.0,"Simon Worldwide, Inc.",United States
Public Company Management Corp.,MOFFIZ,Professional Services,Consulting,Management Consulting,USA,PCMC,A,L,10930337,100.0,Public Company Management Corp.,United States
"TriNet Group, Inc.",TRNEUS,Professional Services,Consulting,Human Resources Consulting,USA,TNET,A,L,124565,100.0,"TriNet Group, Inc.",United States
"Trucept, Inc.",ROYBIO,Professional Services,HR & Staffing,Payroll Services,USA,TREP,A,L,12785995,100.0,"Afinida, Inc.",United States
"Prism Technologies Group, Inc.",WEBINS,Professional Services,Legal,Legal Services,USA,PRZM,A,L,156852,100.0,"Prism Technologies Group, Inc.",United States
Korn Ferry,KRNFRY,Professional Services,Consulting,Human Resources Consulting,USA,KFY,A,L,396922,100.0,Korn Ferry,United States
"Robert Half, Inc.",BCMP,Professional Services,Consulting,Human Resources Consulting,USA,RHI,A,L,276703,100.0,Robert Half Inc.,United States
"LegalZoom.com, Inc.",LGLZCI,Professional Services,Legal,Legal Services,USA,LZ,A,L,11677383,100.0,"LegalZoom.com, Inc.",United States
Concentrix Corp.,BARENT,Professional Services,Consulting,Business Consultancy,USA,CNXC,A,L,9068477,100.0,Concentrix Corporation,United States
"Upwork, Inc.",EODSKI,Professional Services,HR & Staffing,Recruitment Services,USA,UPWK,A,L,425007667,100.0,Upwork Inc.,United States
"Tetra Tech, Inc.",TTECHI,Professional Services,Consulting,Environmental Consulting Services,USA,TTEK,A,L,196872,100.0,"Tetra Tech, Inc.",United States
"Ironstone Properties, Inc.",IRNGRP,Professional Services,Consulting,Management Consulting,USA,IRNS,A,L,3162379,100.0,"Ironstone Properties, Inc.",United States
"Monarch Staffing, Inc.",JAVJUI,Professional Services,HR & Staffing,Recruitment Services,USA,MSTF,A,L,26000252,100.0,"Monarch Staffing, Inc.",United States
"Rightscorp, Inc.",KIDOML,Professional Services,Legal,Legal Services,USA,RIHT,A,L,242412668,100.0,"Rightscorp, Inc.",United States
"ZipRecruiter, Inc.",ZPRCRI,Professional Services,HR & Staffing,Recruitment Services,USA,ZIP,A,L,270999467,100.0,"ZipRecruiter, Inc.",United States
"Premier Information Management, Inc.",GTRMG,Professional Services,Consulting,Business Consultancy,USA,PIFR,A,L,594641444,100.0,"Cannabinoid Biosciences, Inc.",United States
