CompanyName-fss,CompanyCode-fss,Sector,SubSector,Industry,Region,Ticker,Status,ListStatus,SPCIQ_ID,link_score,CompanyName-sp,Country
Healthcare Realty Trust Inc,GANEHR,Real Estate,REITs,Healthcare REITs,USA,HR,A,L,329083,100.0,Healthcare Realty Trust Incorporated,United States
Indocan Resources Inc.,LHDCRP,Real Estate,Real Estate Services,Real Estate Agents/Brokers,USA,IDCN,A,L,3160054,100.0,Indocan Resources Inc.,United States
Winchester Holding Group,WNCHHG,Real Estate,Real Estate Services,Real Estate Services/Transactions,USA,WCHS,A,L,141317715,100.0,Digital Energy Reserve Inc,Hong Kong
La Rosa Holding Corp.,PVNRAO,Real Estate,Real Estate Services,Real Estate Services/Transactions,USA,LRHC,A,L,1779796540,100.0,La Rosa Holdings Corp.,United States
"CIM Real Estate Finance Trust, Inc",CPTIVI,Real Estate,REITs,Retail REITs,USA,CMRF,A,L,113661391,100.0,"CIM Real Estate Finance Trust, Inc.",United States
WillScot Holdings Corp.,EAEAAQ,Real Estate,Specialty Real Estate,Self-storage Unit Rental/Leasing,USA,WSC,A,L,3735944,100.0,WillScot Holdings Corporation,United States
"Orion Properties, Inc.",KBGFOQ,Real Estate,REITs,Industrial/Office REITs,USA,ONL,A,L,1684297636,100.0,Orion Properties Inc.,United States
"Praetorian Property, Inc.",LTCOR,Real Estate,Real Estate Services,Real Estate Services/Transactions,USA,PRRE,A,L,35623891,100.0,"Praetorian Property, Inc.",United States
"Zoned Properties, Inc.",MONGOE,Real Estate,Real Estate Services,Real Estate Services/Transactions,USA,ZDPY,A,L,27567182,100.0,"Zoned Properties, Inc.",United States
"Opendoor Technologies, Inc.",SCPHDH,Real Estate,Residential Real Estate,Residential Real Estate,USA,OPEN,A,L,273515631,100.0,Opendoor Technologies Inc.,United States
"Offerpad Solutions, Inc.",UGUFTW,Real Estate,Specialty Real Estate,Property Technology,USA,OPAD,A,L,418006878,100.0,Offerpad Solutions Inc.,United States
"Uniti Group, Inc.",VZSDUN,Real Estate,REITs,Specialty REITs,USA,UNIT,A,L,113922672,100.0,Uniti Group Inc.,United States
