CompanyName-fss,CompanyCode-fss,Sector,SubSector,Industry,Region,Ticker,Status,ListStatus,SPCIQ_ID,link_score,CompanyName-sp,Country
Natural Health Trends Corp.,NATHT,Retail,Other Retail,Pharmacies/Drugstores,USA,NHTC,A,L,358898,100.0,Natural Health Trends Corp.,United States
Black Box Entertainment Ltd.,SPPSNS,Retail,E-commerce,Etailing,USA,BBOE,A,L,23944934,100.0,Black Box Entertainment Ltd.,United States
Forafric Global Plc,FZOGCG,Retail,Wholesale & Distribution,Agricultural Raw Material Wholesalers,USA,AFRI,A,L,1762073633,100.0,Forafric Global PLC,Gibraltar
"Jade Art Group, Inc.",VEPRIN,Retail,Wholesale & Distribution,Wholesalers,USA,JADA,A,L,30428581,100.0,Jade Art Group Inc.,China
"Sprouts Farmers Market, Inc.",CHAZSP,Retail,Grocery & Food Retail,Supermarkets/Grocery Retailing,USA,SFM,A,L,6757990,100.0,"Sprouts Farmers Market, Inc.",United States
Carvana Co.,GUWKS,Retail,Auto Retail,Used Car Dealing,USA,CVNA,A,L,424080297,100.0,Carvana Co.,United States
"Walmart, Inc.",WLMRT,Retail,Department & Discount,Shopping Malls/Superstores,USA,WMT,A,L,313055,100.0,Walmart Inc.,United States
"Dillards, Inc.",DDSA,Retail,Clothing & Fashion Retail,Clothing Retail,USA,DDS,A,L,266847,100.0,"Dillard's, Inc.",United States
"Americas Car-Mart, Inc.",SKYAM,Retail,Auto Retail,New Car Dealing,USA,CRMT,A,L,303785,100.0,"America's Car-Mart, Inc.",United States
Allied Corp. (Canada),CSMVN,Retail,Department & Discount,Mixed Retailing,USA,ALID,A,L,648595253,100.0,Allied Corp.,Canada
EACO Corp.,FSTEAK,Retail,Wholesale & Distribution,Wholesalers,USA,EACO,A,L,25198699,100.0,EACO Corporation,United States
"LiveWire Ergogenics, Inc.",SMPFPK,Retail,Specialty Retail,Florists,USA,LVVV,A,L,140130240,100.0,"LiveWire Ergogenics, Inc.",United States
"Revolve Group, Inc.",EMNNTI,Retail,Clothing & Fashion Retail,Clothing Retail,USA,RVLV,A,L,583985474,100.0,"Revolve Group, Inc.",United States
"Lulus Fashion Lounge Holdings, Inc.",IYPQZZ,Retail,Clothing & Fashion Retail,Clothing Retail,USA,LVLU,A,L,1685024876,100.0,"Lulu's Fashion Lounge Holdings, Inc.",United States
