CompanyName-fss,CompanyCode-fss,Sector,SubSector,Industry,Region,Ticker,Status,ListStatus,SPCIQ_ID,link_score,CompanyName-sp,Country
Startronix International Inc,GDEXPC,Software & Technology,Hardware & Semiconductors,Computer Peripherals,USA,STNX,A,L,794057,100.0,"StarTronix International, Inc.",United States
Helios & Matheson Analytics Inc,TACXUS,Software & Technology,IT Services,IT Consulting,USA,HMNY,A,L,368843,100.0,Helios and Matheson Analytics Inc.,United States
Grinm Advanced Materials Co Ltd,GOLFWO,Software & Technology,Software,Software,USA,CMFV,A,L,10916673,100.0,"ComF5 International, Inc.",United States
Cannabiz Mobile Inc.,NPCINT,Software & Technology,Software,Mobile Applications Software,USA,LGBI,A,L,33302270,100.0,"Cannabiz Mobile, Inc.",United States
TruGolf Holdings Inc,PVMIKR,Software & Technology,Software,Simulation Software,USA,TRUG,A,L,583656297,100.0,"TruGolf Holdings, Inc.",United States
Genvor Inc.,ODZYTZ,Software & Technology,Digital Services,Agriculture Technology,USA,GNVR,A,L,702957053,100.0,Genvor Incorporated,United States
Welsis Corp.,AWQMSU,Software & Technology,Software,Medical Software,USA,WLSS,A,L,1761348584,100.0,Welsis Corp.,United States
"Tianci International, Inc.",FPETPK,Software & Technology,Software,Games Software,USA,CIIT,A,L,1829137816,100.0,"Tianci International, Inc.",Hong Kong
Ankam Inc,KMBDRT,Software & Technology,Software,Software,USA,ANKM,A,L,712109551,100.0,Ankam Inc.,Taiwan
Nexscient Inc.,PNQLJK,Software & Technology,AI & Emerging Tech,Artificial Intelligence Technologies,USA,NXNT,A,L,1837316484,100.0,"Nexscient, Inc.",United States
Vie Financial Group Inc,ASHTNT,Software & Technology,Software,Applications Software,USA,VIFI,A,L,359175,100.0,"Vie Financial Group, Inc.",United States
Silexion Therapeutics Corp.,FZNVEU,Software & Technology,Other Software & Technology,Biotechnology Services,USA,SLXN,A,L,134350646,100.0,Silexion Therapeutics Corp,Israel
VTEX,SCVPTM,Software & Technology,Cloud & Infrastructure,Cloud Computing,USA,VTEX,A,L,643468691,100.0,VTEX,Cayman Islands
Glidelogic Corp.,JDHRQP,Software & Technology,Software,Software,USA,GDLG,A,L,709440782,100.0,Glidelogic Corp.,United States
Acadia Energy Corp.,VYNTEC,Software & Technology,Software,Software Agents,USA,AECX,A,L,10882829,100.0,Acadia Energy Corporation,United States
Freedom Internet Group Inc.,ACPJYQ,Software & Technology,Digital Services,Online Service Providers,USA,FIGI,A,L,650617525,100.0,Freedom Internet Group Inc.,United States
"Red Cat Holdings, Inc.",CONNTE,Software & Technology,Software,Software,USA,RCAT,A,L,558103995,100.0,"Red Cat Holdings, Inc.",United States
"Neonode, Inc.",SBEI,Software & Technology,Networking & Connectivity,LAN/WAN Hardware,USA,NEON,A,L,32872503,100.0,Neonode Inc.,Sweden
Zoom Technologies  Inc.,ZMTLPH,Software & Technology,Networking & Connectivity,Radio Frequency/Microwave Components,USA,ZTNO,A,L,5909310,100.0,"ZOOM Technologies, Inc.",China
"ADTRAN Holdings, Inc.",ATNINC,Software & Technology,Networking & Connectivity,LAN/WAN Hardware,USA,ADTN,A,L,332752,100.0,"ADTRAN Holdings, Inc.",United States
"TruBridge, Inc.",CPSI,Software & Technology,Software,Medical Software,USA,TBRG,A,L,2146380,100.0,"TruBridge, Inc.",United States
Comtech Telecommunications Corp.,COMTHC,Software & Technology,Networking & Connectivity,Networking,USA,CMTL,A,L,262961,100.0,Comtech Telecommunications Corp.,United States
"Everspin Technologies, Inc.",EVRSPN,Software & Technology,Hardware & Semiconductors,Semiconductors,USA,MRAM,A,L,45761252,100.0,"Everspin Technologies, Inc.",United States
"Insight Enterprises, Inc.",INSGHE,Software & Technology,Hardware & Semiconductors,Computer Hardware,USA,NSIT,A,L,336930,100.0,"Insight Enterprises, Inc.",United States
"Microchip Technology, Inc.",MICCHP,Software & Technology,Hardware & Semiconductors,Semiconductors,USA,MCHP,A,L,31500,100.0,Microchip Technology Incorporated,United States
Rogers Corp.,RGERS,Software & Technology,Hardware & Semiconductors,Semiconductors,USA,ROG,A,L,188099,100.0,Rogers Corporation,United States
"VirTra, Inc.",SCHONB,Software & Technology,Software,Applications Software,USA,VTSI,A,L,3188668,100.0,"VirTra, Inc.",United States
"Viavi Solutions, Inc.",UNPHSE,Software & Technology,Networking & Connectivity,Network Monitoring/Testing Tools,USA,VIAV,A,L,96079,100.0,Viavi Solutions Inc.,United States
"QuoteMedia, Inc.",PYCSOB,Software & Technology,Software,Applications Software,USA,QMCI,A,L,1030389,100.0,"QuoteMedia, Inc.",United States
"No Borders, Inc.",FNDKEP,Software & Technology,Electronics,Electronic Payment Systems,USA,NBDR,A,L,1074452,100.0,"No Borders, Inc.",United States
"Tautachrome, Inc.",CDDYP,Software & Technology,Digital Services,Online Service Providers,USA,TTCM,A,L,228553334,100.0,"Tautachrome, Inc.",United States
"Triad Pro Innovators, Inc.",EURME,Software & Technology,Electronics,Industrial Electronics,USA,TPII,A,L,348220,100.0,"Triad Pro Innovators, Inc.",United States
"root9B Holdings, Inc.",PAGRPI,Software & Technology,Software,Security/Privacy Software,USA,RTNB,A,L,12401438,100.0,"root9B Holdings, Inc.",United States
"SenesTech, Inc.",YKVGFF,Software & Technology,Other Software & Technology,Biotechnology Services,USA,SNES,A,L,145682154,100.0,"SenesTech, Inc.",United States
"Southern ITS International, Inc.",AXIMG,Software & Technology,Software,Security/Privacy Software,USA,SITS,A,L,215640027,100.0,"Southern ITS International, Inc.",United States
