CompanyName-fss,CompanyCode-fss,Sector,SubSector,Industry,Region,Ticker,Status,ListStatus,SPCIQ_ID,link_score,CompanyName-sp,Country
"American Nortel Communications, Inc.",AMNVC,Telecommunications,Telecom Services,Integrated Communications Providers,USA,ARTM,A,L,399802,100.0,"American Nortel Communications, Inc.",United States
Avistar Communications Corporation,AVSTSY,Telecommunications,Wired,Wired Telecommunications Services,USA,AVSR,A,L,527454,100.0,Avistar Communications Corporation,United States
"NW Tech Capital, Inc.",CBRCMT,Telecommunications,Telecom Services,Integrated Communications Providers,USA,NWTT,A,L,412958,100.0,"NW Tech Capital, Inc.",United States
"8x8, Inc.",IITUSA,Telecommunications,Wired,Wired Telecommunications Services,USA,EGHT,A,L,362956,100.0,"8x8, Inc.",United States
"ViaSat, Inc.",VISATI,Telecommunications,Satellite,Satellite Telecommunications Services,USA,VSAT,A,L,359638,100.0,"Viasat, Inc.",United States
"TPT Global Tech, Inc.",GBLSV,Telecommunications,Telecom Services,Integrated Communications Providers,USA,TPTW,A,L,2983568,100.0,"TPT Global Tech, Inc.",United States
Sanwire Corp.,CLRWTM,Telecommunications,Wireless,Mobile Telecommunications,USA,SNWR,A,L,1184702,100.0,Sanwire Corporation,United States
"Ooma, Inc.",OOMAI,Telecommunications,Wired,Wired Telecommunications Services,USA,OOMA,A,L,22275052,100.0,"Ooma, Inc.",United States
"Advanced Powerline Technologies, Inc.",ACDCCM,Telecommunications,Wired,Wired Telecommunications Services,USA,APWL,A,L,10527765,100.0,"Advanced Powerline Technologies, Inc.",United States
"Gogo, Inc.",ARCLLH,Telecommunications,Telecom Services,Integrated Communications Providers,USA,GOGO,A,L,145625476,100.0,Gogo Inc.,United States
"Pegasus Tel, Inc.",PEGUST,Telecommunications,Wired,Wired Telecommunications Services,USA,PTEL,A,L,183134175,100.0,"Pegasus Tel, Inc.",United States
Saudi American Holdings Corp.,DCIMSY,Telecommunications,Wireless,Wireless Telecommunications Services,USA,SAHN,A,L,35785739,100.0,Saudi American Holdings Corp.,United States
CYIOS Corp.,HLHDGN,Telecommunications,Wireless,Wireless Telecommunications Services,USA,CYIO,A,L,13220326,100.0,CYIOS Corporation,United States
"Celexpress, Inc.",WNGTEQ,Telecommunications,Wireless,Mobile Telecommunications,USA,CELX,A,L,1063724,100.0,"Celexpress, Inc.",United States
"Solidus Communications, Inc.",SUGMP,Telecommunications,Wireless,Mobile Telecommunications,USA,SLDC,A,L,304035621,100.0,Solidus Communications Inc.,United States
"Access-Power & Co., Inc.",ACSSPW,Telecommunications,Wired,Wired Telecommunications Services,USA,ACCR,A,L,112002,100.0,"Access-Power & Co., Inc.",United States
"Telephone & Data Systems, Inc.",TELDS,Telecommunications,Wireless,Wireless Telecommunications Services,USA,TDS,A,L,189539,100.0,"Telephone and Data Systems, Inc.",United States
"Globalstar, Inc.",GLLLC,Telecommunications,Satellite,Satellite Telecommunications Services,USA,GSAT,A,L,1611542,100.0,"Globalstar, Inc.",United States
"Lumen Technologies, Inc. (Louisiana)",CTLE,Telecommunications,Wired,Wired Telecommunications Services,USA,LUMN,A,L,260149,100.0,"Lumen Technologies, Inc.",United States
American Superconductor Corp.,AMRSPC,Telecommunications,Telecom Services,Wires/Cables,USA,AMSC,A,L,34933,100.0,American Superconductor Corporation,United States
"ATN International, Inc.",ATTENK,Telecommunications,Wireless,Wireless Telecommunications Services,USA,ATNI,A,L,319384,100.0,"ATN International, Inc.",United States
Annabidiol Corp.,CHCNTH,Telecommunications,Telecom Services,Integrated Communications Providers,USA,ACBD,A,L,374485,100.0,Annabidiol Corp.,United States
"MachTen, Inc.",YPRJLH,Telecommunications,Telecom Services,Integrated Communications Providers,USA,MACT,A,L,1837815246,100.0,"MachTen, Inc.",United States
"Nortech Systems, Inc.",NORTEY,Telecommunications,Telecom Services,Wires/Cables,USA,NSYS,A,L,326776,100.0,Nortech Systems Incorporated,United States
"Nuvera Communications, Inc.",NEWULM,Telecommunications,Telecom Services,Integrated Communications Providers,USA,NUVR,A,L,3171773,100.0,"Nuvera Communications, Inc.",United States
"North American Datacom, Inc.",PIERIN,Telecommunications,Wireless,Wireless Telecommunications Services,USA,NADA,A,L,768620,100.0,"North American DataCom, Inc.",United States
