CompanyName-fss,CompanyCode-fss,Sector,SubSector,Industry,Region,Ticker,Status,ListStatus,SPCIQ_ID,link_score,CompanyName-sp,Country
Zhejiang Dashang Media Co. Ltd.,EDVICO,Transportation,Other Transportation,Business Schools,USA,TKVR,A,L,397476,100.0,"Zhejiang Dashang Media Co., Ltd.",China
Zoomcar Holdings Inc.,KLGCAO,Transportation,Road,Ride-Hailing Platforms/Services,USA,ZCAR,A,L,647850318,100.0,"Zoomcar Holdings, Inc.",India
"Knight-Swift Transportation Holdings, Inc.",SWFTR,Transportation,Road,Trucking,USA,KNX,A,L,334744,100.0,Knight-Swift Transportation Holdings Inc.,United States
"Universal Technical Institute, Inc.",UNITCH,Transportation,Other Transportation,Business Schools,USA,UTI,A,L,36048,100.0,"Universal Technical Institute, Inc.",United States
Liberty Star Uranium & Metals Corp.,TITINC,Transportation,Marine,Metal Mining Support/Exploration,USA,LBSR,A,L,3565868,100.0,Liberty Star Uranium & Metals Corp.,United States
ArcBest Corp.,ABZ,Transportation,Road,Trucking,USA,ARCB,A,L,25063,100.0,ArcBest Corporation,United States
"J.B. Hunt Transport Services, Inc.",JBHT,Transportation,Road,Trucking,USA,JBHT,A,L,278576,100.0,"J.B. Hunt Transport Services, Inc.",United States
"Surf Air Mobility, Inc.",ODRKIE,Transportation,Air,Passenger Airlines,USA,SRFM,A,L,686802842,100.0,Surf Air Mobility Inc.,United States
"Eco Innovation Group, Inc.",DIGTUG,Transportation,Other Transportation,Business Incubators/Business Development Services,USA,ECOX,A,L,3563624,100.0,"Eco Innovation Group, Inc.",United States
"EVmo, Inc.",PPVSNK,Transportation,Road,Ride-Hailing Platforms/Services,USA,YAYO,A,L,412010666,100.0,"EVmo, Inc.",United States
"Uber Technologies, Inc.",UBRTI,Transportation,Road,Ride-Hailing Platforms/Services,USA,UBER,A,L,144524848,100.0,"Uber Technologies, Inc.",United States
"Lyft, Inc.",ZIMRIU,Transportation,Road,Ride-Hailing Platforms/Services,USA,LYFT,A,L,58995029,100.0,"Lyft, Inc.",United States
"Getaround, Inc.",ZUJZIS,Transportation,Road,Ride-Hailing Platforms/Services,USA,GETR,A,L,133487714,100.0,"Getaround, Inc.",United States
"Joby Aviation, Inc.",GNJMTW,Transportation,Road,Ride-Hailing Platforms/Services,USA,JOBY,A,L,551384045,100.0,"Joby Aviation, Inc.",United States
"Frontier Group Holdings, Inc.",FRTAIR,Transportation,Air,Passenger Airlines,USA,ULCC,A,L,335578,100.0,"Frontier Group Holdings, Inc.",United States
"Decentral Life, Inc.",SEWLOG,Transportation,Other Transportation,Business Incubators/Business Development Services,USA,WDLF,A,L,366809642,100.0,"Decentral Life, Inc.",United States
Swvl Holdings Corp.,TMLULB,Transportation,Road,Ride-Hailing Platforms/Services,USA,SWVL,A,L,1769578138,100.0,Swvl Holdings Corp.,United Arab Emirates
"American Commerce Solutions, Inc.",JDAMW,Transportation,Vehicle Rental,Commercial Vehicle Rental/Leasing,USA,AACS,A,L,397676,100.0,"American Commerce Solutions, Inc.",United States
"NewtekOne, Inc.",BMSC,Transportation,Marine,Administrative/Support Services,USA,NEWT,A,L,528094,100.0,"NewtekOne, Inc.",United States
Willis Lease Finance Corp.,WLFC,Transportation,Vehicle Rental,Aircraft Rental/Leasing,USA,WLFC,A,L,357522,100.0,Willis Lease Finance Corporation,United States
"Ryder System, Inc.",RYDSYS,Transportation,Vehicle Rental,Commercial Vehicle Rental/Leasing,USA,R,A,L,33956,100.0,"Ryder System, Inc.",United States
"Hertz Global Holdings, Inc.",HOEZNJ,Transportation,Vehicle Rental,Passenger Car Rental/Leasing,USA,HTZ,A,L,30396158,100.0,"Hertz Global Holdings, Inc.",United States
"Potash America, Inc.",ADMZOB,Transportation,Marine,Metal Mining Support/Exploration,USA,PTAM,A,L,44680169,100.0,"Potash America, Inc.",United States
"Psycheceutical Bioscience, Inc.",AXMIMI,Transportation,Marine,Marine Freight,USA,BWVI,A,L,45988407,100.0,"Blue Water Ventures International, Inc.",United States
"Proficient Auto Logistics, Inc.",ILZNRV,Transportation,Road,Trucking,USA,PAL,A,L,1877854736,100.0,"Proficient Auto Logistics, Inc.",United States
"Landstar System, Inc.",LNDSYS,Transportation,Road,Trucking,USA,LSTR,A,L,30675,100.0,"Landstar System, Inc.",United States
