SP_ENTITY_NAME,SP_ENTITY_ID,SP_CIQ_ID,IQ_TOTAL_REV_Y,IQ_TOTAL_REV_Q,IQ_TOTAL_REV_FY2025,IQ_TOTAL_REV_FQ12026,IQ_TOTAL_REV_FQ42025,IQ_TOTAL_REV_FQ32025,IQ_TOTAL_ASSETS_Y,IQ_TOTAL_ASSETS_Q,IQ_TOTAL_ASSETS_FY2025,IQ_TOTAL_ASSETS_FQ12026,IQ_TOTAL_ASSETS_FQ42025,IQ_TOTAL_ASSETS_FQ32025,IQ_TOTAL_LIAB_Y,IQ_TOTAL_LIAB_Q,IQ_TOTAL_LIAB_FY2025,IQ_TOTAL_LIAB_FQ12026,IQ_TOTAL_LIAB_FQ42025,IQ_TOTAL_LIAB_FQ32025,IQ_TOTAL_LIAB_TOTAL_ASSETS_Y,IQ_TOTAL_LIAB_TOTAL_ASSETS_Q,IQ_TOTAL_LIAB_TOTAL_ASSETS_FY2025,IQ_TOTAL_LIAB_TOTAL_ASSETS_FQ12026,IQ_TOTAL_LIAB_TOTAL_ASSETS_FQ42025,IQ_TOTAL_LIAB_TOTAL_ASSETS_FQ32025,SP_CURRENT_ASSETS_Y,SP_CURRENT_ASSETS_Q,SP_CURRENT_ASSETS_FY2025,SP_CURRENT_ASSETS_FQ12026,SP_CURRENT_ASSETS_FQ42025,SP_CURRENT_ASSETS_FQ32025,IQ_TOTAL_CL_Y,IQ_TOTAL_CL_Q,IQ_TOTAL_CL_FY2025,IQ_TOTAL_CL_FQ12026,IQ_TOTAL_CL_FQ42025,IQ_TOTAL_CL_FQ32025,IQ_TOTAL_DEBT_Y,IQ_TOTAL_DEBT_Q,IQ_TOTAL_DEBT_FY2025,IQ_TOTAL_DEBT_FQ12026,IQ_TOTAL_DEBT_FQ42025,IQ_TOTAL_DEBT_FQ32025,IQ_TOTAL_EQUITY_Y,IQ_TOTAL_EQUITY_Q,IQ_TOTAL_EQUITY_FY2025,IQ_TOTAL_EQUITY_FQ12026,IQ_TOTAL_EQUITY_FQ42025,IQ_TOTAL_EQUITY_FQ32025,IQ_CURRENT_RATIO_Y,IQ_CURRENT_RATIO_Q,IQ_CURRENT_RATIO_FY2025,IQ_CURRENT_RATIO_FQ12026,IQ_CURRENT_RATIO_FQ42025,IQ_CURRENT_RATIO_FQ32025,IQ_QUICK_RATIO_Y,IQ_QUICK_RATIO_Q,IQ_QUICK_RATIO_FY2025,IQ_QUICK_RATIO_FQ12026,IQ_QUICK_RATIO_FQ42025,IQ_QUICK_RATIO_FQ32025,IQ_CASH_EQUIV_Y,IQ_CASH_EQUIV_Q,IQ_CASH_EQUIV_FY2025,IQ_CASH_EQUIV_FQ12026,IQ_CASH_EQUIV_FQ42025,IQ_CASH_EQUIV_FQ32025,IQ_RETAINED_EARNINGS_Y,IQ_RETAINED_EARNINGS_Q,IQ_RETAINED_EARNINGS_FY2025,IQ_RETAINED_EARNINGS_FQ12026,IQ_RETAINED_EARNINGS_FQ42025,IQ_RETAINED_EARNINGS_FQ32025,IQ_EBIT_Y,IQ_EBIT_Q,IQ_EBIT_FY2025,IQ_EBIT_FQ12026,IQ_EBIT_FQ42025,IQ_EBIT_FQ32025,IQ_AR_RE_Y,IQ_AR_RE_Q,IQ_AR_RE_FY2025,IQ_AR_RE_FQ12026,IQ_AR_RE_FQ42025,IQ_AR_RE_FQ32025,IQ_TOTAL_RECEIV_Y,IQ_TOTAL_RECEIV_Q,IQ_TOTAL_RECEIV_FY2025,IQ_TOTAL_RECEIV_FQ12026,IQ_TOTAL_RECEIV_FQ42025,IQ_TOTAL_RECEIV_FQ32025,IQ_OPER_INC_RE_Y,IQ_OPER_INC_RE_Q,IQ_OPER_INC_RE_FY2025,IQ_OPER_INC_RE_FQ12026,IQ_OPER_INC_RE_FQ42025,IQ_OPER_INC_RE_FQ32025,IQ_NET_INC_PARENT_Y,IQ_NET_INC_PARENT_Q,IQ_NET_INC_PARENT_FY2025,IQ_NET_INC_PARENT_FQ12026,IQ_NET_INC_PARENT_FQ42025,IQ_NET_INC_PARENT_FQ32025,IQ_GP_Y,IQ_GP_Q,IQ_GP_FY2025,IQ_GP_FQ12026,IQ_GP_FQ42025,IQ_GP_FQ32025,IQ_WORKING_CAP_Y,IQ_WORKING_CAP_Q,IQ_WORKING_CAP_FY2025,IQ_WORKING_CAP_FQ12026,IQ_WORKING_CAP_FQ42025,IQ_WORKING_CAP_FQ32025,SP_MARKETCAP_Current,SP_PRICE_OPEN_Current,SP_PRICE_HIGH_Current,SP_PRICE_LOW_Current,SP_HEADCOUNT_LATEST,SP_HEADCOUNT_GROWTHRATE_2026,SP_HEADCOUNT_GROWTHRATE_2026,SP_HEADCOUNT_GROWTHRATE_2026,IQ_TOTAL_EMPLOYEES_Y,IQ_TOTAL_EMPLOYEES_Q,IQ_TOTAL_EMPLOYEES_FY2025,IQ_TOTAL_EMPLOYEES_FQ12026,IQ_TOTAL_EMPLOYEES_FQ42025,IQ_TOTAL_EMPLOYEES_FQ32025,REG_CEO_CHANGE_MRY,REG_CEO_CHANGE_MRQ,REG_CEO_CHANGE_2025Y,REG_CEO_CHANGE_2026Q1,REG_CEO_CHANGE_2025Q4,REG_CEO_CHANGE_2025Q3,IQ_AUDITOR_NAME_Y,IQ_AUDITOR_NAME_Q,IQ_AUDITOR_NAME_FY2025,IQ_AUDITOR_NAME_FQ12026,IQ_AUDITOR_NAME_FQ42025,IQ_AUDITOR_NAME_FQ32025,SP_FITCH_LT_CREDIT_RATING,SP_FITCH_LT_RATING_EFFECTIVE_ DATE,SP_FITCH_LT_RATING_CREDIT_WATCH_OUTLOOK,RD_CREDIT_RATING_GLOBAL_Issuer Credit Rating,RD_CREDIT_RATING_DATE_GLOBAL_Issuer Credit Rating,RD_CWOL_GLOBAL_Issuer Credit Rating,RD_CREDIT_WATCH_OUTLOOK_DATE_GLOBAL_Issuer Credit Rating,IQ_EBITDA_Y,IQ_EBITDA_Q,IQ_EBITDA_FY2025,IQ_EBITDA_FQ12026,IQ_EBITDA_FQ42025,IQ_EBITDA_FQ32025
LuxUrban Hotels Inc. (OTCEM:LUXH.Q),101509831,IQ1764044831,113397.012,13133.103,,,,,283294.022,206614.089,,,,,286791.38,282541.218,,,,,101.235,136.748,,,,,19721.057,2729.882,,,,,33125.741,83566.518,,,,,248699.772,207766.025,,,,,-3497.358,-75927.129,,,,,0.595,0.033,,,,,0.381,0.02,,,,,752.848,198.868,,,,,-99710.503,-199901.381,,,,,-15343.781,-18250.643,,,,,329.887,,,,,,11851.511,1480,,,,,-15343.781,-18250.643,,,,,-78523.377,-30729.372,,,,,11893.418,-16117.298,,,,,-13404.684,-80836.636,,,,,0.012737493,,0.0796,1e-06,27,,,-4,509,357,,,,,,,,,,,"Grassi & Co., CPAs, P.C.",,,,,,,,,,,,,-15253.871,-18238.245,,,,
Vestand Inc. (NASDAQCM:VSTD),101511177,IQ1763673481,12839.137,3688.94,,,,,17573.266,19067.41,,,,,17317.867,14379.793,,,,,98.547,75.416,,,,,1464.568,3059.566,,,,,6041.089,5357.299,,,,,15396.254,12370.495,,,,,255.399,4687.617,,,,,0.242,0.571,,,,,0.219,0.267,,,,,1241.036,1326.539,,,,,-12006.642,-14652.424,,,,,-2555.029,-1702.573,,,,,,,,,,,84.11,1501.566,,,,,,,,,,,-2665.869,-1203.971,,,,,2338.793,-159.716,,,,,-4576.521,-2297.733,,,,,5.420722536,0.331,4.425925,0.2017,6,,,0,259,,,,,,,,,,,,BCRG Group,,,,,,,,,,,,,-1692.883,-1451.015,,,,
InnSuites Hospitality Trust (NYSEAM:IHT),103014,IQ299555,7593.516,1805.038,7593.516,2205.763,1634.026,1825.128,14193.58,13895.269,14193.58,14027.617,14193.58,14973.679,13548.102,14042.169,13548.102,13353.109,13548.102,13322.894,95.452,101.057,95.452,95.192,95.452,88.975,,,,,,,1391.145,1299.031,1391.145,1366.104,1391.145,1504.906,12895.478,13491.505,12895.478,12735.22,12895.478,12549.44,645.478,-146.9,645.478,674.508,645.478,1650.785,1.237,1.095,1.237,1.132,1.237,1.624,1.135,1.015,1.135,0.999,1.135,1.152,92.752,14.016,92.752,13.004,92.752,451.905,,,,,,,-742.742,-181.397,-742.742,222.396,-489.033,-130.322,,,,,,,1486.222,1304.282,1486.222,1352.325,1486.222,1281.886,,,,,,,-1391.035,-356.908,-1391.035,-121.032,-579.377,-276.365,3443.257,778.17,3443.257,1165.734,566.699,890.634,329.31,123.213,329.31,180.218,329.31,938.657,10.72363161,1.19,4.24,0.95,14,,,0,66,,66,,66,,,,,,,,B F Borgers CPA PC,,B F Borgers CPA PC,,B F Borgers CPA PC,,,,,,,,,-37.059,10.204,-37.059,404.696,-304.197,44.445
"Wyndham Hotels & Resorts, Inc. (NYSE:WH)",10348007,IQ555811978,1429000,327000,1429000,327000,334000,382000,4182000,4248000,4182000,4248000,4182000,4346000,3714000,3801000,3714000,3801000,3714000,3763000,88.809,89.477,88.809,89.477,88.809,86.585,435000,475000,435000,475000,435000,508000,507000,483000,507000,483000,507000,439000,2576000,2650000,2576000,2650000,2576000,2637000,468000,447000,468000,447000,468000,583000,0.858,0.983,0.858,0.983,0.858,1.157,0.7,0.785,0.7,0.785,0.7,0.902,64000,79000,64000,79000,64000,70000,471000,498000,471000,498000,471000,811000,509000,121000,509000,121000,52000,181000,,,,,,,317000,302000,317000,302000,317000,350000,,,,,,,193000,61000,193000,61000,-60000,105000,864000,196000,864000,196000,201000,251000,-72000,-8000,-72000,-8000,-72000,69000,6006.80507568,80.37,92.685,69.21,4466,,,-1,2000,,2000,,2000,,,,,,,,Deloitte & Touche LLP,,Deloitte & Touche LLP,,Deloitte & Touche LLP,,,,,BB+,2021-08-05 07:50:03,Stable,2021-08-05 07:50:03,539000,137000,539000,137000,68000,196000
"ML Capital Group, Inc. (OTCEM:MLCG)",105620645,IQ1769679859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0621252558,,0.0003,1e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hometown International, Inc. (OTCEM:HWIN)",105926451,IQ1777396902,,,,,,,83.938,1478.614,,,,,233.772,447.314,,,,,278.506,30.252,,,,,72.288,1357.098,,,,,233.772,413.841,,,,,184.99,108.035,,,,,-149.834,1031.3,,,,,0.309,3.279,,,,,0.309,2.207,,,,,72.288,913.509,,,,,-331.534,-9564.904,,,,,-994.602,-3559.013,,,,,,,,,,,,,,,,,,,,,,,-994.602,-8965.509,,,,,,,,,,,-161.484,943.257,,,,,0.0036347004,,0.0001,0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Reborn Coffee, Inc. (NASDAQCM:REBN)",10630698,IQ563187528,8094.628,3209.966,8094.628,,3209.966,1356.609,13181.09,13181.09,13181.09,,13181.09,6198.248,8535.225,8535.225,8535.225,,8535.225,9620.143,64.754,64.754,64.754,,64.754,155.207,6879.137,6879.137,6879.137,,6879.137,667.116,6686.606,6686.606,6686.606,,6686.606,7954.708,6655.139,6655.139,6655.139,,6655.139,4350.571,4645.865,4645.865,4645.865,,4645.865,-3421.895,1.029,1.029,1.029,,1.029,0.084,0.639,0.639,0.639,,0.639,0.024,2594.716,2594.716,2594.716,,2594.716,44.045,-30704.112,-30704.112,-30704.112,,-30704.112,-32543.761,-5793.847,3359.192,-5793.847,,3359.192,-3047.911,,,,,,,3675.986,3675.986,3675.986,,3675.986,147.459,,,,,,,-9141.24,1839.649,-9141.24,,1839.649,-3449.693,5068.318,2175.561,5068.318,,2175.561,709.457,192.531,192.531,192.531,,192.531,-7287.592,20.0408302,2.62,3.45,1.3646,23,,,-8,,,,,,,,,,,,,BCRG Group,BCRG Group,BCRG Group,,BCRG Group,,,,,,,,,-5344.262,3593.255,-5344.262,,3593.255,-2976.73
Authentic Restaurant Brands,109852301,IQ1827650040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GEN Restaurant Group, Inc. (NASDAQGM:GENK)",111556446,IQ1838854195,212541,49746,212541,,49746,50418,259856,259856,259856,,259856,245539,233350,233350,233350,,233350,207452,89.8,89.8,89.8,,89.8,84.488,22746,22746,22746,,22746,13206,54074,54074,54074,,54074,40491,187215,187215,187215,,187215,175541,26506,26506,26506,,26506,38087,0.421,0.421,0.421,,0.421,0.326,0.259,0.259,0.259,,0.259,0.162,2824,2824,2824,,2824,4793,-2111,-2111,-2111,,-2111,-212,-14937,-6670,-14937,,-6670,-4210,,,,,,,11164,11164,11164,,11164,1768,,,,,,,-3026,-1899,-3026,,-1899,-566,28435,3846,28435,,3846,6889,-31328,-31328,-31328,,-31328,-27285,9.32890525,1.6,5.26,1.43,,,,,1538,1538,1538,,1538,,,,,,,,CBIZ CPAs P.C,CBIZ CPAs P.C,CBIZ CPAs P.C,,CBIZ CPAs P.C,,,,,,,,,-5817,-4152,-5817,,-4152,-1892
Twin Hospitality Group Inc. (OTCPK:TWNP.Q),119970898,IQ1891468263,353801,82316,,,,82316,542446,516770,,,,516770,627055,608897,,,,608897,115.598,117.827,,,,117.827,28805,28268,,,,28268,55230,448236,,,,448236,571548,558453,,,,558453,-84609,-92127,,,,-92127,0.522,0.063,,,,0.063,0.226,0.017,,,,0.017,9370,5478,,,,5478,-84609,-147124,,,,-147124,-8330,-5080,,,,-5080,,,,,,,3130,1951,,,,1951,,,,,,,-48170,-24481,,,,-24481,117204,26741,,,,26741,-26425,-419968,,,,-419968,3.7204480544,0.05745,8.67,0.0206,,,,,,,,,,,,,,,,,Macias Gini & O’Connell LLP,,,,,,,,,,,,,15185,-1645,,,,-1645
