SP_ENTITY_NAME,SP_ENTITY_ID,SP_CIQ_ID,IQ_TOTAL_REV_Y,IQ_TOTAL_REV_Q,IQ_TOTAL_REV_FY2025,IQ_TOTAL_REV_FQ12026,IQ_TOTAL_REV_FQ42025,IQ_TOTAL_REV_FQ32025,IQ_TOTAL_ASSETS_Y,IQ_TOTAL_ASSETS_Q,IQ_TOTAL_ASSETS_FY2025,IQ_TOTAL_ASSETS_FQ12026,IQ_TOTAL_ASSETS_FQ42025,IQ_TOTAL_ASSETS_FQ32025,IQ_TOTAL_LIAB_Y,IQ_TOTAL_LIAB_Q,IQ_TOTAL_LIAB_FY2025,IQ_TOTAL_LIAB_FQ12026,IQ_TOTAL_LIAB_FQ42025,IQ_TOTAL_LIAB_FQ32025,IQ_TOTAL_LIAB_TOTAL_ASSETS_Y,IQ_TOTAL_LIAB_TOTAL_ASSETS_Q,IQ_TOTAL_LIAB_TOTAL_ASSETS_FY2025,IQ_TOTAL_LIAB_TOTAL_ASSETS_FQ12026,IQ_TOTAL_LIAB_TOTAL_ASSETS_FQ42025,IQ_TOTAL_LIAB_TOTAL_ASSETS_FQ32025,SP_CURRENT_ASSETS_Y,SP_CURRENT_ASSETS_Q,SP_CURRENT_ASSETS_FY2025,SP_CURRENT_ASSETS_FQ12026,SP_CURRENT_ASSETS_FQ42025,SP_CURRENT_ASSETS_FQ32025,IQ_TOTAL_CL_Y,IQ_TOTAL_CL_Q,IQ_TOTAL_CL_FY2025,IQ_TOTAL_CL_FQ12026,IQ_TOTAL_CL_FQ42025,IQ_TOTAL_CL_FQ32025,IQ_TOTAL_DEBT_Y,IQ_TOTAL_DEBT_Q,IQ_TOTAL_DEBT_FY2025,IQ_TOTAL_DEBT_FQ12026,IQ_TOTAL_DEBT_FQ42025,IQ_TOTAL_DEBT_FQ32025,IQ_TOTAL_EQUITY_Y,IQ_TOTAL_EQUITY_Q,IQ_TOTAL_EQUITY_FY2025,IQ_TOTAL_EQUITY_FQ12026,IQ_TOTAL_EQUITY_FQ42025,IQ_TOTAL_EQUITY_FQ32025,IQ_CURRENT_RATIO_Y,IQ_CURRENT_RATIO_Q,IQ_CURRENT_RATIO_FY2025,IQ_CURRENT_RATIO_FQ12026,IQ_CURRENT_RATIO_FQ42025,IQ_CURRENT_RATIO_FQ32025,IQ_QUICK_RATIO_Y,IQ_QUICK_RATIO_Q,IQ_QUICK_RATIO_FY2025,IQ_QUICK_RATIO_FQ12026,IQ_QUICK_RATIO_FQ42025,IQ_QUICK_RATIO_FQ32025,IQ_CASH_EQUIV_Y,IQ_CASH_EQUIV_Q,IQ_CASH_EQUIV_FY2025,IQ_CASH_EQUIV_FQ12026,IQ_CASH_EQUIV_FQ42025,IQ_CASH_EQUIV_FQ32025,IQ_RETAINED_EARNINGS_Y,IQ_RETAINED_EARNINGS_Q,IQ_RETAINED_EARNINGS_FY2025,IQ_RETAINED_EARNINGS_FQ12026,IQ_RETAINED_EARNINGS_FQ42025,IQ_RETAINED_EARNINGS_FQ32025,IQ_EBIT_Y,IQ_EBIT_Q,IQ_EBIT_FY2025,IQ_EBIT_FQ12026,IQ_EBIT_FQ42025,IQ_EBIT_FQ32025,IQ_AR_RE_Y,IQ_AR_RE_Q,IQ_AR_RE_FY2025,IQ_AR_RE_FQ12026,IQ_AR_RE_FQ42025,IQ_AR_RE_FQ32025,IQ_TOTAL_RECEIV_Y,IQ_TOTAL_RECEIV_Q,IQ_TOTAL_RECEIV_FY2025,IQ_TOTAL_RECEIV_FQ12026,IQ_TOTAL_RECEIV_FQ42025,IQ_TOTAL_RECEIV_FQ32025,IQ_OPER_INC_RE_Y,IQ_OPER_INC_RE_Q,IQ_OPER_INC_RE_FY2025,IQ_OPER_INC_RE_FQ12026,IQ_OPER_INC_RE_FQ42025,IQ_OPER_INC_RE_FQ32025,IQ_NET_INC_PARENT_Y,IQ_NET_INC_PARENT_Q,IQ_NET_INC_PARENT_FY2025,IQ_NET_INC_PARENT_FQ12026,IQ_NET_INC_PARENT_FQ42025,IQ_NET_INC_PARENT_FQ32025,IQ_GP_Y,IQ_GP_Q,IQ_GP_FY2025,IQ_GP_FQ12026,IQ_GP_FQ42025,IQ_GP_FQ32025,IQ_WORKING_CAP_Y,IQ_WORKING_CAP_Q,IQ_WORKING_CAP_FY2025,IQ_WORKING_CAP_FQ12026,IQ_WORKING_CAP_FQ42025,IQ_WORKING_CAP_FQ32025,SP_MARKETCAP_Current,SP_PRICE_OPEN_Current,SP_PRICE_HIGH_Current,SP_PRICE_LOW_Current,SP_HEADCOUNT_LATEST,SP_HEADCOUNT_GROWTHRATE_2026,SP_HEADCOUNT_GROWTHRATE_2026,SP_HEADCOUNT_GROWTHRATE_2026,IQ_TOTAL_EMPLOYEES_Y,IQ_TOTAL_EMPLOYEES_Q,IQ_TOTAL_EMPLOYEES_FY2025,IQ_TOTAL_EMPLOYEES_FQ12026,IQ_TOTAL_EMPLOYEES_FQ42025,IQ_TOTAL_EMPLOYEES_FQ32025,REG_CEO_CHANGE_MRY,REG_CEO_CHANGE_MRQ,REG_CEO_CHANGE_2025Y,REG_CEO_CHANGE_2026Q1,REG_CEO_CHANGE_2025Q4,REG_CEO_CHANGE_2025Q3,IQ_AUDITOR_NAME_Y,IQ_AUDITOR_NAME_Q,IQ_AUDITOR_NAME_FY2025,IQ_AUDITOR_NAME_FQ12026,IQ_AUDITOR_NAME_FQ42025,IQ_AUDITOR_NAME_FQ32025,SP_FITCH_LT_CREDIT_RATING,SP_FITCH_LT_RATING_EFFECTIVE_ DATE,SP_FITCH_LT_RATING_CREDIT_WATCH_OUTLOOK,RD_CREDIT_RATING_GLOBAL_Issuer Credit Rating,RD_CREDIT_RATING_DATE_GLOBAL_Issuer Credit Rating,RD_CWOL_GLOBAL_Issuer Credit Rating,RD_CREDIT_WATCH_OUTLOOK_DATE_GLOBAL_Issuer Credit Rating,IQ_EBITDA_Y,IQ_EBITDA_Q,IQ_EBITDA_FY2025,IQ_EBITDA_FQ12026,IQ_EBITDA_FQ42025,IQ_EBITDA_FQ32025
"Public Policy Holding Company, Inc. (AIM:PPHC)",100482189,IQ1685513708,186541,49855,186541,,49855,48787,202552,202552,202552,,202552,204584,127648,127648,127648,,127648,123071,63.02,63.02,63.02,,63.02,60.157,58554,58554,58554,,58554,49211,52856,52856,52856,,52856,50411,68527,68527,68527,,68527,70247,74904,74904,74904,,74904,81513,1.108,1.108,1.108,,1.108,0.976,0.844,0.844,0.844,,0.844,0.737,20436,20436,20436,,20436,11145,-163381,-163381,-163381,,-163381,-146621,-18820,-7470,-18820,,-7470,-3504,,,,,,,24935,24935,24935,,24935,26356,,,,,,,-39001,-15215,-39001,,-15215,-7440,18647,-3030,18647,,-3030,6729,5698,5698,5698,,5698,-1200,397.599811923966,13.55696651015,15.6688557655,8.86993487247,34,,,-3,450,450,450,,450,453,,,,,,,"Forvis Mazars, LLP","Forvis Mazars, LLP","Forvis Mazars, LLP",,"Forvis Mazars, LLP",,,,,,,,,-12582,-5864,-12582,,-5864,-1921.182
"Elvictor Group, Inc. (OTCPK:ELVG)",10701547,IQ567737140,2427.968,563.981,2427.968,,563.981,645.905,2034.54,2034.54,2034.54,,2034.54,1949.149,1677.466,1677.466,1677.466,,1677.466,1435.948,82.449,82.449,82.449,,82.449,73.671,979.167,979.167,979.167,,979.167,939.116,1492.125,1492.125,1492.125,,1492.125,1237.919,237.093,237.093,237.093,,237.093,249.106,357.074,357.074,357.074,,357.074,513.201,0.656,0.656,0.656,,0.656,0.759,0.618,0.618,0.618,,0.618,0.7,490.974,490.974,490.974,,490.974,246.275,-44838.405,-44838.405,-44838.405,,-44838.405,-44682.277,-209.738,-197.868,-209.738,,-197.868,4.752,,,,,,,430.636,430.636,430.636,,430.636,620.829,,,,,,,-175.719,-156.125,-175.719,,-156.125,7.476,1805.223,417.329,1805.223,,417.329,489.542,-512.958,-512.958,-512.958,,-512.958,-298.803,1.657828,,13.5,1.08,64,,,-2,25,25,25,,25,,,,,,,,Russell Bedford Stefanou Mirchandani LLP - RBSM LLP,Russell Bedford Stefanou Mirchandani LLP - RBSM LLP,Russell Bedford Stefanou Mirchandani LLP - RBSM LLP,,Russell Bedford Stefanou Mirchandani LLP - RBSM LLP,,,,,,,,,-201.017,-195.915,-201.017,,-195.915,6.856
"Winners, Inc. (OTCPK:WNRS)",11050419,IQ578308399,7.85,,7.85,,,,275.165,,275.165,,,,567.506,,567.506,,,,206.242,,206.242,,,,0.165,,0.165,,,,567.506,,567.506,,,,65,,65,,,,-292.341,,-292.341,,,,0,,0,,,,0,,0,,,,0.165,,0.165,,,,-2066.7,,-2066.7,,,,-884.87,,-884.87,,,,,,,,,,,,,,,,,,,,,,-886.322,,-886.322,,,,7.85,,7.85,,,,-567.341,,-567.341,,,,20.7150936941,0.0013,0.00505,0.00096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CBIZ, Inc. (NYSE:CBZ)",114008,IQ361972,2757991,848579,2757991,848579,542663,693818,4409528,4629960,4409528,4629960,4409528,4545144,2647461,2735784,2647461,2735784,2647461,2673345,60.04,59.089,60.04,59.089,60.04,58.818,899249,1069283,899249,1069283,899249,1005415,735594,655902,735594,655902,735594,641759,1832996,1992162,1832996,1992162,1832996,1960180,1762067,1894176,1762067,1894176,1762067,1871799,1.222,1.63,1.222,1.63,1.222,1.567,0.782,1.218,0.782,1.218,0.782,1.148,18290,28718,18290,28718,18290,16969,1011566,1173178,1011566,1173178,1011566,1090983,323110,216861,323110,216861,-40011,78541,,,,,,,555995,769442,555995,769442,555995,719554,,,,,,,115444,161612,115444,161612,-79417,30146,419693,246717,419693,246717,-29747,113329,163655,413381,163655,413381,163655,363656,1681.054857,32.14,77.91,24.29,5567,,,1,9500,,9500,,9500,,,,,,,,KPMG LLP - Klynveld Peat Marwick Goerdeler,,KPMG LLP - Klynveld Peat Marwick Goerdeler,,KPMG LLP - Klynveld Peat Marwick Goerdeler,,,,,,,,,421380,240611,421380,240611,-16054,102996
"Cannabinoid Biosciences, Inc. (OTCPK:PIFR)",13492132,IQ594641444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1405296,0.0024,0.004,0.0004,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"StemGen, Inc. (OTCEM:SGNI)",13535601,IQ595650463,39,,,,,,401.643,140.436,,,,,1735.657,1876.64,,,,,432.139,1336.296,,,,,1.343,22.869,,,,,1735.657,1876.64,,,,,812.273,828.023,,,,,-1334.014,-1736.204,,,,,0.001,0.012,,,,,0.001,0.012,,,,,1.343,22.869,,,,,-1091.42,-1494.61,,,,,-243.924,-172.222,,,,,,,,,,,,,,,,,,,,,,,-433.143,-185.774,,,,,8.546,-4.201,,,,,-1734.314,-1853.771,,,,,4.5671063,,0.0001,0.0001,0,,,,1,,,,,,,,,,,,PWR CPA LLP,,,,,,,,,,,,,-131.447,-154.089,,,,
"Green Globe International, Inc. (OTCPK:GGII)",19111126,IQ633310512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6623750898,0.0001,0.00025,1e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Futuris Company (OTCEM:FTRS),23888681,IQ683058045,40903.268,,,,,,51132.173,,,,,,43787.97,,,,,,85.637,,,,,,10639.769,,,,,,43787.97,,,,,,16709.099,,,,,,7344.203,,,,,,0.243,,,,,,0.196,,,,,,874.426,,,,,,4587.259,,,,,,3603.575,,,,,,,,,,,,7691.84,,,,,,,,,,,,2980.317,,,,,,10332.845,,,,,,-33148.201,,,,,,0.042657723,,0.0169,0.0005,7,,,0,168,,,,,,,,,,,,,,,,,,,,,,,,,3621.41,,,,,
BioLife Sciences Inc. (OTCEM:BLFE),25292559,IQ686751886,,,,,,,,1040.079,,,,,,1149.647,,,,,,110.535,,,,,,77.014,,,,,,1139.031,,,,,,397.995,,,,,,-109.568,,,,,,0.068,,,,,,0.014,,,,,,15.623,,,,,,-1857.809,,,,,,-122.803,,,,,,,,,,,,,,,,,,,,,,,,-132.047,,,,,,,,,,,,-1062.017,,,,,0.0048293638,,0.005587,1e-06,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Megado Minerals Limited (ASX:MEG),25675943,IQ688046377,,,,,,,6787.31590229213,6787.31590229213,6787.31590229213,,6787.31590229213,6730.30226820686,114.803228396556,114.803228396556,114.803228396556,,114.803228396556,113.838878224878,1.691,1.691,1.691,,1.691,1.691,2045.01734272668,,2045.01734272668,,2045.01734272668,2027.83914266134,114.803228396556,114.803228396556,114.803228396556,,114.803228396556,113.838878224878,0,0,0,,0,0,6672.51267389557,6672.51267389557,6672.51267389557,,6672.51267389557,6616.46338998199,17.813,17.813,17.813,,17.813,17.813,11.826,11.826,11.826,,11.826,11.826,1333.67395953893,1333.67395953893,1333.67395953893,,1333.67395953893,1322.47106281026,-12059.0601662705,-12059.0601662705,-12059.0601662705,,-12059.0601662705,-11957.7637401679,-771.976979880545,-170.677644686878,-771.976979880545,,-170.677644686878,-170.038653458165,,,,,,,23.995464249288,23.995464249288,23.995464249288,,23.995464249288,23.793901711444,,,,,,,-760.09377257318,-168.444345455658,-760.09377257318,,-168.444345455658,-167.813715360722,,,,,,,1930.21411433012,1930.21411433012,1930.21411433012,,1930.21411433012,1914.00026443646,9.3038074373896,0.012909703788,0.035143082534,0.007889263426,4,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
