SP_ENTITY_NAME,SP_ENTITY_ID,SP_CIQ_ID,IQ_TOTAL_REV_Y,IQ_TOTAL_REV_Q,IQ_TOTAL_REV_FY2025,IQ_TOTAL_REV_FQ12026,IQ_TOTAL_REV_FQ42025,IQ_TOTAL_REV_FQ32025,IQ_TOTAL_ASSETS_Y,IQ_TOTAL_ASSETS_Q,IQ_TOTAL_ASSETS_FY2025,IQ_TOTAL_ASSETS_FQ12026,IQ_TOTAL_ASSETS_FQ42025,IQ_TOTAL_ASSETS_FQ32025,IQ_TOTAL_LIAB_Y,IQ_TOTAL_LIAB_Q,IQ_TOTAL_LIAB_FY2025,IQ_TOTAL_LIAB_FQ12026,IQ_TOTAL_LIAB_FQ42025,IQ_TOTAL_LIAB_FQ32025,IQ_TOTAL_LIAB_TOTAL_ASSETS_Y,IQ_TOTAL_LIAB_TOTAL_ASSETS_Q,IQ_TOTAL_LIAB_TOTAL_ASSETS_FY2025,IQ_TOTAL_LIAB_TOTAL_ASSETS_FQ12026,IQ_TOTAL_LIAB_TOTAL_ASSETS_FQ42025,IQ_TOTAL_LIAB_TOTAL_ASSETS_FQ32025,SP_CURRENT_ASSETS_Y,SP_CURRENT_ASSETS_Q,SP_CURRENT_ASSETS_FY2025,SP_CURRENT_ASSETS_FQ12026,SP_CURRENT_ASSETS_FQ42025,SP_CURRENT_ASSETS_FQ32025,IQ_TOTAL_CL_Y,IQ_TOTAL_CL_Q,IQ_TOTAL_CL_FY2025,IQ_TOTAL_CL_FQ12026,IQ_TOTAL_CL_FQ42025,IQ_TOTAL_CL_FQ32025,IQ_TOTAL_DEBT_Y,IQ_TOTAL_DEBT_Q,IQ_TOTAL_DEBT_FY2025,IQ_TOTAL_DEBT_FQ12026,IQ_TOTAL_DEBT_FQ42025,IQ_TOTAL_DEBT_FQ32025,IQ_TOTAL_EQUITY_Y,IQ_TOTAL_EQUITY_Q,IQ_TOTAL_EQUITY_FY2025,IQ_TOTAL_EQUITY_FQ12026,IQ_TOTAL_EQUITY_FQ42025,IQ_TOTAL_EQUITY_FQ32025,IQ_CURRENT_RATIO_Y,IQ_CURRENT_RATIO_Q,IQ_CURRENT_RATIO_FY2025,IQ_CURRENT_RATIO_FQ12026,IQ_CURRENT_RATIO_FQ42025,IQ_CURRENT_RATIO_FQ32025,IQ_QUICK_RATIO_Y,IQ_QUICK_RATIO_Q,IQ_QUICK_RATIO_FY2025,IQ_QUICK_RATIO_FQ12026,IQ_QUICK_RATIO_FQ42025,IQ_QUICK_RATIO_FQ32025,IQ_CASH_EQUIV_Y,IQ_CASH_EQUIV_Q,IQ_CASH_EQUIV_FY2025,IQ_CASH_EQUIV_FQ12026,IQ_CASH_EQUIV_FQ42025,IQ_CASH_EQUIV_FQ32025,IQ_RETAINED_EARNINGS_Y,IQ_RETAINED_EARNINGS_Q,IQ_RETAINED_EARNINGS_FY2025,IQ_RETAINED_EARNINGS_FQ12026,IQ_RETAINED_EARNINGS_FQ42025,IQ_RETAINED_EARNINGS_FQ32025,IQ_EBIT_Y,IQ_EBIT_Q,IQ_EBIT_FY2025,IQ_EBIT_FQ12026,IQ_EBIT_FQ42025,IQ_EBIT_FQ32025,IQ_AR_RE_Y,IQ_AR_RE_Q,IQ_AR_RE_FY2025,IQ_AR_RE_FQ12026,IQ_AR_RE_FQ42025,IQ_AR_RE_FQ32025,IQ_TOTAL_RECEIV_Y,IQ_TOTAL_RECEIV_Q,IQ_TOTAL_RECEIV_FY2025,IQ_TOTAL_RECEIV_FQ12026,IQ_TOTAL_RECEIV_FQ42025,IQ_TOTAL_RECEIV_FQ32025,IQ_OPER_INC_RE_Y,IQ_OPER_INC_RE_Q,IQ_OPER_INC_RE_FY2025,IQ_OPER_INC_RE_FQ12026,IQ_OPER_INC_RE_FQ42025,IQ_OPER_INC_RE_FQ32025,IQ_NET_INC_PARENT_Y,IQ_NET_INC_PARENT_Q,IQ_NET_INC_PARENT_FY2025,IQ_NET_INC_PARENT_FQ12026,IQ_NET_INC_PARENT_FQ42025,IQ_NET_INC_PARENT_FQ32025,IQ_GP_Y,IQ_GP_Q,IQ_GP_FY2025,IQ_GP_FQ12026,IQ_GP_FQ42025,IQ_GP_FQ32025,IQ_WORKING_CAP_Y,IQ_WORKING_CAP_Q,IQ_WORKING_CAP_FY2025,IQ_WORKING_CAP_FQ12026,IQ_WORKING_CAP_FQ42025,IQ_WORKING_CAP_FQ32025,SP_MARKETCAP_Current,SP_PRICE_OPEN_Current,SP_PRICE_HIGH_Current,SP_PRICE_LOW_Current,SP_HEADCOUNT_LATEST,SP_HEADCOUNT_GROWTHRATE_2026,SP_HEADCOUNT_GROWTHRATE_2026,SP_HEADCOUNT_GROWTHRATE_2026,IQ_TOTAL_EMPLOYEES_Y,IQ_TOTAL_EMPLOYEES_Q,IQ_TOTAL_EMPLOYEES_FY2025,IQ_TOTAL_EMPLOYEES_FQ12026,IQ_TOTAL_EMPLOYEES_FQ42025,IQ_TOTAL_EMPLOYEES_FQ32025,REG_CEO_CHANGE_MRY,REG_CEO_CHANGE_MRQ,REG_CEO_CHANGE_2025Y,REG_CEO_CHANGE_2026Q1,REG_CEO_CHANGE_2025Q4,REG_CEO_CHANGE_2025Q3,IQ_AUDITOR_NAME_Y,IQ_AUDITOR_NAME_Q,IQ_AUDITOR_NAME_FY2025,IQ_AUDITOR_NAME_FQ12026,IQ_AUDITOR_NAME_FQ42025,IQ_AUDITOR_NAME_FQ32025,SP_FITCH_LT_CREDIT_RATING,SP_FITCH_LT_RATING_EFFECTIVE_ DATE,SP_FITCH_LT_RATING_CREDIT_WATCH_OUTLOOK,RD_CREDIT_RATING_GLOBAL_Issuer Credit Rating,RD_CREDIT_RATING_DATE_GLOBAL_Issuer Credit Rating,RD_CWOL_GLOBAL_Issuer Credit Rating,RD_CREDIT_WATCH_OUTLOOK_DATE_GLOBAL_Issuer Credit Rating,IQ_EBITDA_Y,IQ_EBITDA_Q,IQ_EBITDA_FY2025,IQ_EBITDA_FQ12026,IQ_EBITDA_FQ42025,IQ_EBITDA_FQ32025
Orion Properties Inc. (NYSE:ONL),100401249,IQ1684297636,135825,24170,135825,,24170,36866,1170502,1170502,1170502,,1170502,1222793,545987,545987,545987,,545987,562676,46.646,46.646,46.646,,46.646,46.016,,,,,,,42210,42210,42210,,42210,41738,473600,473600,473600,,473600,491631,624515,624515,624515,,624515,660117,2.636,2.636,2.636,,2.636,2.715,1.367,1.367,1.367,,1.367,1.563,22362,22362,22362,,22362,32639,-528482,-528482,-528482,,-528482,-491463,-8960,-10733,-8960,,-10733,152,35333,35333,35333,,35333,32611,35333,35333,35333,,35333,32611,-8960,-10733,-8960,,-10733,152,-139309,-35810,-139309,,-35810,-69035,70099,8326,70099,,8326,19468,69045,69045,69045,,69045,71596,163.10229516,2.93,3.05,1.63,36,,,0,37,37,37,,37,,,,,,,,KPMG LLP - Klynveld Peat Marwick Goerdeler,KPMG LLP - Klynveld Peat Marwick Goerdeler,KPMG LLP - Klynveld Peat Marwick Goerdeler,,KPMG LLP - Klynveld Peat Marwick Goerdeler,,,,,,,,,48486,2054,48486,,2054,14561
"UC Asset, LP (OTCQB:UCAS.U)",10068540,IQ552713652,513.168,52.245,,,,,5935.742,7561.535,,,,,109.926,918,,,,,1.852,12.14,,,,,1162.819,1286.551,,,,,109.926,200,,,,,68.78,768,,,,,5825.816,6643.535,,,,,10.578,6.433,,,,,0.205,1.366,,,,,9.984,217.487,,,,,,,,,,,-76.395,-85.891,,,,,,,,,,,1094.018,993.362,,,,,,,,,,,132.41,-91.141,,,,,161.435,52.245,,,,,1052.893,1086.551,,,,,1.9894185675,,1.3,0.3627,3,,,0,,,,,,,,,,,,,"Robert L. Adams, Jr. CPA",,,,,,,,,,,,,-75.562,-61.708,,,,
"Landmark Land Company, Inc. (OTCEM:LLND)",101405,IQ3701315,12248.655,2007.849,,,,,46924.335,44540.63,,,,,21599.123,23678.929,,,,,46.03,53.163,,,,,2216.296,1412.259,,,,,17856.813,18311.274,,,,,18579.005,19331.615,,,,,25325.212,20861.701,,,,,0.124,0.077,,,,,0.103,0.066,,,,,270.278,254.759,,,,,-10167.89,-14668.15,,,,,-4149.91,-704.155,,,,,,,,,,,1568.054,955.025,,,,,,,,,,,6087.92,-970.57,,,,,-1451.901,-389.785,,,,,-15640.517,-16899.015,,,,,0.000756753,,0.008,0.0001,6,,,0,110,83,,,,,,,,,,,"Reznick Group, PC",,,,,,,,,,,,,-3501.108,-551.224,,,,
Federal Agricultural Mortgage Corporation (NYSE:AGM),102893,IQ360653,372340,92303,372340,,92303,94959,35370157,35370157,35370157,,35370157,33379560,33651208,33651208,33651208,,33651208,31692477,95.14,95.14,95.14,,95.14,94.946,17819605,17819605,17819605,,17819605,16761352,11527014,11527014,11527014,,11527014,10503228,33209623,33209623,33209623,,33209623,31314983,1718949,1718949,1718949,,1718949,1687083,1.546,1.546,1.546,,1.546,1.596,1.529,1.529,1.529,,1.529,1.577,906592,906592,906592,,906592,884444,1047347,1047347,1047347,,1047347,1035940,,,,,,,,,,,,,16678431,16678431,16678431,,16678431,15646776,,,,,,,207415,47924,207415,,47924,55003,372340,92303,372340,,92303,94959,6292591,6292591,6292591,,6292591,6258124,1813.49795813,173.74,210.64,136.57,197,,,1,212,212,212,,212,,,,,,,,PricewaterhouseCoopers LLP,PricewaterhouseCoopers LLP,PricewaterhouseCoopers LLP,,PricewaterhouseCoopers LLP,,,,,,,,,,,,,,
Federal National Mortgage Association (OTCQB:FNMA),102894,IQ271135,27528000,6847000,27528000,6847000,6888000,6990000,4317538000,4314635000,4317538000,4314635000,4317538000,4335856000,4208526000,4201968000,4208526000,4201968000,4208526000,4230371000,97.475,97.389,97.475,97.389,97.475,97.567,4292642000,4214187000,4292642000,4214187000,4292642000,4310662000,78614000,12213000,78614000,12213000,78614000,32002000,4180581000,4172802000,4180581000,4172802000,4180581000,4203335000,109012000,112667000,109012000,112667000,109012000,105485000,54.604,NM,54.604,NM,54.604,134.7,54.101,NM,54.101,NM,54.101,133.527,11452000,11485000,11452000,11485000,11452000,12155000,-24261000,-20541000,-24261000,-20541000,-24261000,-27788000,,,,,,,,,,,,,4134509000,4130525000,4134509000,4130525000,4134509000,4137710000,,,,,,,14364000,3720000,14364000,3720000,3527000,3859000,27528000,6847000,27528000,6847000,6888000,6990000,4214028000,4201974000,4214028000,4201974000,4214028000,4278660000,49813.130115,8.74,15.99,3.6,10497,,,-2,7000,,7000,,7000,,,,,,,,Deloitte & Touche LLP,,Deloitte & Touche LLP,,Deloitte & Touche LLP,,,,,,,,,,,,,,
Federal Home Loan Mortgage Corporation (OTCQB:FMCC),102895,IQ271199,21981000,6453000,21981000,6453000,5712000,5564000,3497598000,3505318000,3497598000,3505318000,3497598000,3468187000,3427214000,3431396000,3427214000,3431396000,3427214000,3400587000,97.988,97.891,97.988,97.891,97.988,98.051,3464242000,3395011000,3464242000,3395011000,3464242000,3434554000,49096000,34964000,49096000,34964000,49096000,49169000,3405803000,3409253000,3405803000,3409253000,3405803000,3379802000,70384000,73922000,70384000,73922000,70384000,67600000,70.561,97.1,70.561,97.1,70.561,69.852,70.287,97.065,70.287,97.065,70.287,69.583,4093000,4469000,4093000,4469000,4093000,3632000,-12539000,-8981000,-12539000,-8981000,-12539000,-15316000,,,,,,,,,,,,,3302420000,3314513000,3302420000,3314513000,3302420000,3260617000,,,,,,,10731000,3558000,10731000,3558000,2777000,2773000,21981000,6453000,21981000,6453000,5712000,5564000,3415146000,3360047000,3415146000,3360047000,3415146000,3385385000,24900.96712815,7.65,14.99,3.4,10071,,,-1,7345,,7345,,7345,,,,,,,,PricewaterhouseCoopers LLP,,PricewaterhouseCoopers LLP,,PricewaterhouseCoopers LLP,,,,,,,,,,,,,,
The InterGroup Corporation (NASDAQCM:INTG),102899,IQ280402,64378,17301,64378,17913,16207,16824,104101,101137,104101,102516,104101,103241,218405,215683,218405,218032,218405,215317,209.801,213.258,209.801,212.681,209.801,208.558,17559,15898,17559,14310,17559,14281,26583,15689,26583,16179,26583,11318,197093,194927,197093,196928,197093,197528,-114304,-114546,-114304,-115516,-114304,-112076,0.661,1.013,0.661,0.884,0.661,1.262,0.247,0.478,0.247,0.371,0.247,0.433,5084,6576,5084,5043,5084,4017,-67980,-67000,-67980,-68515,-67980,-66333,7643,2015,7643,2732,1311,2350,,,,,,,525,,525,,525,,,,,,,,-5348,1515,-5348,-535,-1647,-578,17460,4455,17460,5094,3917,4708,-9024,209,-9024,-1869,-9024,2963,84.51277596,39.46,43.835,9.57,10,,,0,217,,217,,217,,,,,,,,"WithumSmith+Brown, PC",,"WithumSmith+Brown, PC",,"WithumSmith+Brown, PC",,,,,,,,,14267,3715,14267,4388,2968,4001
BRT Apartments Corp. (NYSE:BRT),102926,IQ253440,96854,23480,96854,,23480,24359,709813,709813,709813,,709813,714170,532613,532613,532613,,532613,527512,75.036,75.036,75.036,,75.036,73.864,,,,,,,54569,54569,54569,,54569,26978,510281,510281,510281,,510281,500534,177200,177200,177200,,177200,186658,0.507,0.507,0.507,,0.507,1.619,0.461,0.461,0.461,,0.461,0.782,25138,25138,25138,,25138,21105,-98346,-98346,-98346,,-98346,-89306,10841,1967,10841,,1967,2461,,,,,,,,,,,,17713,10841,1967,10841,,1967,2461,-11946,-4321,-11946,,-4321,-2707,52767,12402,52767,,12402,13017,-26910,-26910,-26910,,-26910,16700,280.3754216,14.28,16.69,13.178,16,,,0,11,11,11,,11,,,,,,,,Ernst & Young LLP,Ernst & Young LLP,Ernst & Young LLP,,Ernst & Young LLP,,,,,,,,,37237,8623,37237,,8623,9080
Capstead Mortgage Corporation,102935,IQ258673,-45665,18162,,,,,8405250,7849661,,,,,7495087,6976648,,,,,89.171,88.878,,,,,,,,,,,7396594,6878104,,,,,7459060,6941762,,,,,910163,873013,,,,,0.063,0.061,,,,,0.053,0.05,,,,,257180,207392,,,,,-651071,-655406,,,,,,,,,,,,,,,,,136107,134316,,,,,,,,,,,-129573,15529,,,,,-45665,18162,,,,,-6928896,-6458235,,,,,,,,,1,,,0,15,,,,,,,,,,,,Ernst & Young LLP,,,,,,,,,,,,,,,,,,
Cousins Properties Incorporated (NYSE:CUZ),102939,IQ264776,985657,260467,985657,260467,253027,245644,8890132,9087843,8890132,9087843,8890132,8900481,4187930,4554794,4187930,4554794,4187930,4142818,47.108,50.12,47.108,50.12,47.108,46.546,,,,,,,1189299,966157,1189299,966157,1189299,957176,3391000,3822521,3391000,3822521,3391000,3359527,4702202,4533049,4702202,4533049,4702202,4757663,0.304,0.348,0.304,0.348,0.304,0.301,0.246,0.311,0.246,0.311,0.246,0.293,5720,6296,5720,6296,5720,4675,,,,,,,216614,57516,216614,57516,53995,50715,286860,294396,286860,294396,286860,275571,286860,294396,286860,294396,286860,275571,216614,57516,216614,57516,53995,50715,40503,-24856,40503,-24856,-3467,8590,671159,177882,671159,177882,169887,165621,-827891,-630145,-827891,-630145,-827891,-669007,4192.48768484,25.51,30.81,21.03,364,,,-1,351,,351,,351,,,,,,,,Deloitte & Touche LLP,,Deloitte & Touche LLP,,Deloitte & Touche LLP,,,,,BBB,2024-04-25 15:09:03,Stable,2024-11-12 15:10:03,631973,170098,631973,170098,170102,146963
