SP_ENTITY_NAME,SP_ENTITY_ID,SP_CIQ_ID,IQ_TOTAL_REV_Y,IQ_TOTAL_REV_Q,IQ_TOTAL_REV_FY2025,IQ_TOTAL_REV_FQ12026,IQ_TOTAL_REV_FQ42025,IQ_TOTAL_REV_FQ32025,IQ_TOTAL_ASSETS_Y,IQ_TOTAL_ASSETS_Q,IQ_TOTAL_ASSETS_FY2025,IQ_TOTAL_ASSETS_FQ12026,IQ_TOTAL_ASSETS_FQ42025,IQ_TOTAL_ASSETS_FQ32025,IQ_TOTAL_LIAB_Y,IQ_TOTAL_LIAB_Q,IQ_TOTAL_LIAB_FY2025,IQ_TOTAL_LIAB_FQ12026,IQ_TOTAL_LIAB_FQ42025,IQ_TOTAL_LIAB_FQ32025,IQ_TOTAL_LIAB_TOTAL_ASSETS_Y,IQ_TOTAL_LIAB_TOTAL_ASSETS_Q,IQ_TOTAL_LIAB_TOTAL_ASSETS_FY2025,IQ_TOTAL_LIAB_TOTAL_ASSETS_FQ12026,IQ_TOTAL_LIAB_TOTAL_ASSETS_FQ42025,IQ_TOTAL_LIAB_TOTAL_ASSETS_FQ32025,SP_CURRENT_ASSETS_Y,SP_CURRENT_ASSETS_Q,SP_CURRENT_ASSETS_FY2025,SP_CURRENT_ASSETS_FQ12026,SP_CURRENT_ASSETS_FQ42025,SP_CURRENT_ASSETS_FQ32025,IQ_TOTAL_CL_Y,IQ_TOTAL_CL_Q,IQ_TOTAL_CL_FY2025,IQ_TOTAL_CL_FQ12026,IQ_TOTAL_CL_FQ42025,IQ_TOTAL_CL_FQ32025,IQ_TOTAL_DEBT_Y,IQ_TOTAL_DEBT_Q,IQ_TOTAL_DEBT_FY2025,IQ_TOTAL_DEBT_FQ12026,IQ_TOTAL_DEBT_FQ42025,IQ_TOTAL_DEBT_FQ32025,IQ_TOTAL_EQUITY_Y,IQ_TOTAL_EQUITY_Q,IQ_TOTAL_EQUITY_FY2025,IQ_TOTAL_EQUITY_FQ12026,IQ_TOTAL_EQUITY_FQ42025,IQ_TOTAL_EQUITY_FQ32025,IQ_CURRENT_RATIO_Y,IQ_CURRENT_RATIO_Q,IQ_CURRENT_RATIO_FY2025,IQ_CURRENT_RATIO_FQ12026,IQ_CURRENT_RATIO_FQ42025,IQ_CURRENT_RATIO_FQ32025,IQ_QUICK_RATIO_Y,IQ_QUICK_RATIO_Q,IQ_QUICK_RATIO_FY2025,IQ_QUICK_RATIO_FQ12026,IQ_QUICK_RATIO_FQ42025,IQ_QUICK_RATIO_FQ32025,IQ_CASH_EQUIV_Y,IQ_CASH_EQUIV_Q,IQ_CASH_EQUIV_FY2025,IQ_CASH_EQUIV_FQ12026,IQ_CASH_EQUIV_FQ42025,IQ_CASH_EQUIV_FQ32025,IQ_RETAINED_EARNINGS_Y,IQ_RETAINED_EARNINGS_Q,IQ_RETAINED_EARNINGS_FY2025,IQ_RETAINED_EARNINGS_FQ12026,IQ_RETAINED_EARNINGS_FQ42025,IQ_RETAINED_EARNINGS_FQ32025,IQ_EBIT_Y,IQ_EBIT_Q,IQ_EBIT_FY2025,IQ_EBIT_FQ12026,IQ_EBIT_FQ42025,IQ_EBIT_FQ32025,IQ_AR_RE_Y,IQ_AR_RE_Q,IQ_AR_RE_FY2025,IQ_AR_RE_FQ12026,IQ_AR_RE_FQ42025,IQ_AR_RE_FQ32025,IQ_TOTAL_RECEIV_Y,IQ_TOTAL_RECEIV_Q,IQ_TOTAL_RECEIV_FY2025,IQ_TOTAL_RECEIV_FQ12026,IQ_TOTAL_RECEIV_FQ42025,IQ_TOTAL_RECEIV_FQ32025,IQ_OPER_INC_RE_Y,IQ_OPER_INC_RE_Q,IQ_OPER_INC_RE_FY2025,IQ_OPER_INC_RE_FQ12026,IQ_OPER_INC_RE_FQ42025,IQ_OPER_INC_RE_FQ32025,IQ_NET_INC_PARENT_Y,IQ_NET_INC_PARENT_Q,IQ_NET_INC_PARENT_FY2025,IQ_NET_INC_PARENT_FQ12026,IQ_NET_INC_PARENT_FQ42025,IQ_NET_INC_PARENT_FQ32025,IQ_GP_Y,IQ_GP_Q,IQ_GP_FY2025,IQ_GP_FQ12026,IQ_GP_FQ42025,IQ_GP_FQ32025,IQ_WORKING_CAP_Y,IQ_WORKING_CAP_Q,IQ_WORKING_CAP_FY2025,IQ_WORKING_CAP_FQ12026,IQ_WORKING_CAP_FQ42025,IQ_WORKING_CAP_FQ32025,SP_MARKETCAP_Current,SP_PRICE_OPEN_Current,SP_PRICE_HIGH_Current,SP_PRICE_LOW_Current,SP_HEADCOUNT_LATEST,SP_HEADCOUNT_GROWTHRATE_2026,SP_HEADCOUNT_GROWTHRATE_2026,SP_HEADCOUNT_GROWTHRATE_2026,IQ_TOTAL_EMPLOYEES_Y,IQ_TOTAL_EMPLOYEES_Q,IQ_TOTAL_EMPLOYEES_FY2025,IQ_TOTAL_EMPLOYEES_FQ12026,IQ_TOTAL_EMPLOYEES_FQ42025,IQ_TOTAL_EMPLOYEES_FQ32025,REG_CEO_CHANGE_MRY,REG_CEO_CHANGE_MRQ,REG_CEO_CHANGE_2025Y,REG_CEO_CHANGE_2026Q1,REG_CEO_CHANGE_2025Q4,REG_CEO_CHANGE_2025Q3,IQ_AUDITOR_NAME_Y,IQ_AUDITOR_NAME_Q,IQ_AUDITOR_NAME_FY2025,IQ_AUDITOR_NAME_FQ12026,IQ_AUDITOR_NAME_FQ42025,IQ_AUDITOR_NAME_FQ32025,SP_FITCH_LT_CREDIT_RATING,SP_FITCH_LT_RATING_EFFECTIVE_ DATE,SP_FITCH_LT_RATING_CREDIT_WATCH_OUTLOOK,RD_CREDIT_RATING_GLOBAL_Issuer Credit Rating,RD_CREDIT_RATING_DATE_GLOBAL_Issuer Credit Rating,RD_CWOL_GLOBAL_Issuer Credit Rating,RD_CREDIT_WATCH_OUTLOOK_DATE_GLOBAL_Issuer Credit Rating,IQ_EBITDA_Y,IQ_EBITDA_Q,IQ_EBITDA_FY2025,IQ_EBITDA_FQ12026,IQ_EBITDA_FQ42025,IQ_EBITDA_FQ32025
"Arhaus, Inc. (NASDAQGS:ARHS)",100401140,IQ1684295272,1379222,364845,1379222,,364845,344570,1394746,1394746,1394746,,1394746,1378638,976518,976518,976518,,976518,978222,70.014,70.014,70.014,,70.014,70.956,621374,621374,621374,,621374,626173,453262,453262,453262,,453262,466156,580577,580577,580577,,580577,571609,418228,418228,418228,,418228,400416,1.371,1.371,1.371,,1.371,1.343,0.57,0.57,0.57,,0.57,0.565,253356,253356,253356,,253356,262230,210365,210365,210365,,210365,195266,88967,20266,88967,,20266,16407,,,,,,,663,663,663,,663,1071,,,,,,,67256,15090,67256,,15090,12218,536408,139173,536408,,139173,133421,168112,168112,168112,,168112,160017,998.84248758,7.46,12.98,6.17,1601,,,1,2750,2750,2750,,2750,,,,,,,,PricewaterhouseCoopers LLP,PricewaterhouseCoopers LLP,PricewaterhouseCoopers LLP,,PricewaterhouseCoopers LLP,,,,,,,,,135760,32343,135760,,32343,28164
"Lulu's Fashion Lounge Holdings, Inc. (NASDAQCM:LVLU)",100448389,IQ1685024876,282284,63018,282284,,63018,73591,89364,89364,89364,,89364,103342,86350,86350,86350,,86350,100823,96.627,96.627,96.627,,96.627,97.562,43648,43648,43648,,43648,55757,75063,75063,75063,,75063,88163,31181,31181,31181,,31181,27337,3014,3014,3014,,3014,2519,0.581,0.581,0.581,,0.581,0.632,0.072,0.072,0.072,,0.072,0.089,2661,2661,2661,,2661,1942,-262204,-262204,-262204,,-262204,-261801,-12627,39,-12627,,39,-1925,,,,,,,2740,2740,2740,,2740,5917,,,,,,,-13713,-403,-13713,,-403,-2317,122054,27921,122054,,27921,31360,-31415,-31415,-31415,,-31415,-32406,28.300894281,10.69,32.319,2.98,,,,,526,526,526,,526,,,,,,,,Deloitte & Touche LLP,Deloitte & Touche LLP,Deloitte & Touche LLP,,Deloitte & Touche LLP,,,,,,,,,-9413,842.5,-9413,,842.5,-664
"Hour Loop, Inc. (NASDAQCM:HOUR)",100547273,IQ1686418647,142440.236,56075.337,142440.236,,56075.337,33424.703,23821.437,23821.437,23821.437,,23821.437,31620.271,16827.578,16827.578,16827.578,,16827.578,23950.598,70.64,70.64,70.64,,70.64,75.744,22946.188,22946.188,22946.188,,22946.188,31044.386,16726.164,16726.164,16726.164,,16726.164,23883.441,4623.399,4623.399,4623.399,,4623.399,3433.322,6993.859,6993.859,6993.859,,6993.859,7669.673,1.372,1.372,1.372,,1.372,1.3,0.241,0.241,0.241,,0.241,0.056,3792.033,3792.033,3792.033,,3792.033,796.307,1109.674,1109.674,1109.674,,1109.674,1766.934,2460.93,-822.792,2460.93,,-822.792,742.006,,,,,,,235.959,235.959,235.959,,235.959,546.474,,,,,,,1704.849,-657.26,1704.849,,-657.26,530.591,74633.671,27815.713,74633.671,,27815.713,17175.308,6220.024,6220.024,6220.024,,6220.024,7160.945,85.8486916,2.05,6.84,1.155,70,,,1,159,159,159,,159,,,,,,,,"HTL International, LLC","HTL International, LLC","HTL International, LLC",,"HTL International, LLC",,,,,,,,,2502.316,-812.515,2502.316,,-812.515,749.598
"Cass Information Systems, Inc. (NASDAQGS:CASS)",100886,IQ369520,207424,53050,207424,53050,53396,54014,2606024,2533791,2606024,2533791,2606024,2453622,2363026,2291999,2363026,2291999,2363026,2210173,90.676,90.457,90.676,90.457,90.676,90.078,1673827,1584786,1673827,1584786,1673827,1570753,2318271,1551267,2318271,1551267,2318271,1538373,4509,145000,4509,145000,4509,4687,242998,241792,242998,241792,242998,243449,0.722,1.022,0.722,1.022,0.722,1.021,0.651,0.854,0.651,0.854,0.651,0.899,392268,244343,392268,244343,392268,258634,167092,171797,167092,171797,167092,163038,55085,14771,55085,14771,15884,15766,,,,,,,1117045,1079819,1117045,1079819,1117045,1124079,,,,,,,35116,8832,35116,8832,8189,9106,97010,25710,97010,25710,26356,26601,-644444,33519,-644444,33519,-644444,32380,598.99752,46.96,52.45,36.0745,635,,,-1,938,923,938,923,938,,,,,,,,KPMG LLP - Klynveld Peat Marwick Goerdeler,,KPMG LLP - Klynveld Peat Marwick Goerdeler,,KPMG LLP - Klynveld Peat Marwick Goerdeler,,,,,,,,,62286,16571.25,62286,16571.25,17732,17504
Forafric Global PLC (NASDAQCM:AFRI),101386251,IQ1762073633,274223,43675.5,,,,,246078,266145,,,,,240762,255959,,,,,97.84,96.173,,,,,77385,82380,,,,,207270,218576,,,,,165970,178595,,,,,5316,10186,,,,,0.373,0.377,,,,,0.185,0.156,,,,,12231,9480,,,,,-139679,-150562,,,,,-2799,-1511,,,,,,,,,,,26191,24590,,,,,,,,,,,-24325,-5441.5,,,,,27332,4257.5,,,,,-129885,-136196,,,,,267.6708404,10.02,11.42,7.47,59,,,2,600,,,,,,,,,,,,UHY LLP,,,,,,,,,,,,,1891,-349,,,,
"LMP Automotive Holdings, Inc. (OTCEM:LMPX)",10141023,IQ553140218,30442.617,141432.882,,,,,34413.055,214236.477,,,,,5268.566,166369.988,,,,,15.31,77.657,,,,,25412.912,98313.889,,,,,3055.403,66138.513,,,,,3118.398,131860.32,,,,,29144.489,47866.489,,,,,8.317,1.486,,,,,5.3,0.52,,,,,3935.726,18849.314,,,,,-15416.151,-14665.1,,,,,-1647.092,7377.322,,,,,,,,,,,12259.337,15524.884,,,,,,,,,,,-4815.793,4769.27,,,,,3054.592,27590.255,,,,,22357.509,32175.376,,,,,0.7679771968,,0.25,0.0005,4,,,0,17,,,,,,,,,,,,"Grassi & Co., CPAs, P.C.",,,,,,,,,,,,,-1009.154,8253.75,,,,
"Distribution Solutions Group, Inc. (NASDAQGS:DSGR)",101437756,IQ1762833848,1980023,495995,1980023,495995,481599,517958,1748621,1790004,1748621,1790004,1748621,1766526,1099274,1141897,1099274,1141897,1099274,1112652,62.865,63.793,62.865,63.793,62.865,62.985,746924,790908,746924,790908,746924,766392,291465,301094,291465,301094,291465,305963,819111,849415,819111,849415,819111,821240,649347,648107,649347,648107,649347,653874,2.563,2.627,2.563,2.627,2.563,2.505,1.143,1.194,1.143,1.194,1.143,1.192,61753,52729,61753,52729,61753,69214,-33694,-33312,-33694,-33312,-33694,-27323,83908,15548,83908,15548,9302,25800,,,,,,,271331,306700,271331,306700,271331,295456,,,,,,,8345,382,8345,382,-6371,6452,662038,163363,662038,163363,157648,170326,455459,489814,455459,489814,455459,460429,1256.97043965,27.33,33.8,19.02,,,,,4300,,4300,,4300,,,,,,,,Grant Thornton,,Grant Thornton,,Grant Thornton,,,,,,,,,160636,34146,160636,34146,28218,45224
"Fact, Inc. (OTCEM:FCTI)",10346283,IQ555750085,,,,,,,12.237,0.612,,,,,664.482,2192.566,,,,,5430.105,358262.418,,,,,12.237,0.612,,,,,664.482,2192.566,,,,,125.028,663.624,,,,,-652.245,-2191.954,,,,,0.018,0,,,,,0.015,0,,,,,9.945,0.195,,,,,-1302.708,-3597.437,,,,,-447.374,-274.819,,,,,,,,,,,,,,,,,,,,,,,-1260.691,-823.829,,,,,,,,,,,-652.245,-2191.954,,,,,0.05521668,,0.001,1e-06,,,,,,,,,,,,,,,,,"Fruci & Associates II, PLLC",,,,,,,,,,,,,-447.074,-274.744,,,,
HF Foods Group Inc. (NASDAQCM:HFFG),10442430,IQ558014292,1228282,308023,1228282,,308023,306978,541529,541529,541529,,541529,595083,337943,337943,337943,,337943,354221,62.405,62.405,62.405,,62.405,59.525,194000,194000,194000,,194000,208371,164768,164768,164768,,164768,175053,222546,222546,222546,,222546,237444,203586,203586,203586,,203586,240862,1.177,1.177,1.177,,1.177,1.19,0.454,0.454,0.454,,0.454,0.38,8641,8641,8641,,8641,12328,-396042,-396042,-396042,,-396042,-358744,5814,-579,5814,,-579,1120,,,,,,,66237,66237,66237,,66237,54131,,,,,,,-38843,-37298,-38843,,-37298,-1116,207576,51076,207576,,51076,50409,29232,29232,29232,,29232,33318,97.86001311,1.89,4.45,1.38,69,,,1,952,952,952,,952,,,,,,,,BDO LLP,BDO LLP,BDO LLP,,BDO LLP,,,,,,,,,34196,6534,34196,,6534,8370
"Naples Soap Company, Inc. (OTCQB:NASO)",10514000,IQ421701422,,,,,,,,,,,,,,,,,,,,,,,,,179.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.248752,1,1.67,0.15,31,,,-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GigaCloud Technology Inc. (NASDAQGM:GCT),106482898,IQ1789177587,1289897,362747,1289897,,362747,332638,1202459,1202459,1202459,,1202459,1124111,716660,716660,716660,,716660,666796,59.6,59.6,59.6,,59.6,59.318,690662,690662,690662,,690662,621989,342248,342248,342248,,342248,299627,469681,469681,469681,,469681,461996,485799,485799,485799,,485799,457315,2.018,2.018,2.018,,2.018,2.076,1.442,1.442,1.442,,1.442,1.421,379780,379780,379780,,379780,334851,400866,400866,400866,,400866,377517,145072,40259,145072,,40259,40527,,,,,,,77416,77416,77416,,77416,59818,,,,,,,137372,38499,137372,,38499,37175,300666,82947,300666,,82947,77049,348414,348414,348414,,348414,322362,1602.40766216,45.39,51.86,12.88,80,,,-2,1644,1644,1644,,1644,,,,,,,,KPMG Huazhen Certified Public Accountants,KPMG Huazhen Certified Public Accountants,KPMG Huazhen Certified Public Accountants,,KPMG Huazhen Certified Public Accountants,,,,,,,,,153404,42287,153404,,42287,42642
"Savers Value Village, Inc. (NYSE:SVV)",10745099,IQ226143858,1678954,464666,1678954,,464666,426935,2010887,2010887,2010887,,2010887,1960286,1575308,1575308,1575308,,1575308,1545663,78.339,78.339,78.339,,78.339,78.849,197107,197107,197107,,197107,194255,244017,244017,244017,,244017,240949,1405197,1405197,1405197,,1405197,1365075,435579,435579,435579,,435579,414623,0.808,0.808,0.808,,0.808,0.806,0.422,0.422,0.422,,0.422,0.345,85904,85904,85904,,85904,63516,-273250,-273250,-273250,,-273250,-285864,133400,53935,133400,,53935,36253,,,,,,,17094,17094,17094,,17094,18312,,,,,,,22639,22448,22639,,22448,-14003,928078,257411,928078,,257411,238695,-46910,-46910,-46910,,-46910,-46694,1274.9768295,8.19,13.89,6.905,3259,,,-1,24000,24000,24000,,24000,,,,,,,,KPMG LLP - Klynveld Peat Marwick Goerdeler,KPMG LLP - Klynveld Peat Marwick Goerdeler,KPMG LLP - Klynveld Peat Marwick Goerdeler,,KPMG LLP - Klynveld Peat Marwick Goerdeler,,,,,B+,2024-04-26 14:13:45,Stable,2024-04-26 14:13:45,213882,75835,213882,,75835,54573
"Tekumo, Inc. (OTCPK:TKMO)",107477672,IQ1800157538,2773.418,638.984,,,,,2238.022,2429.272,,,,,1773.78,11692.779,,,,,79.257,481.329,,,,,1003.794,895.044,,,,,1613.199,11532.198,,,,,1122.217,1178.879,,,,,464.242,-9263.507,,,,,0.622,0.078,,,,,0.622,0.078,,,,,59.92,492.267,,,,,-127.126,-12365.471,,,,,-152.671,-1309.244,,,,,,,,,,,943.874,402.777,,,,,,,,,,,-203.587,-1403.705,,,,,1135.442,257.89,,,,,-609.405,-10637.154,,,,,0.5279638717,5.1e-05,0.0002,1e-06,,,,,34,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Auto Parts 4Less Group, Inc. (OTCEM:FLES)",10788979,IQ571096445,4202.88,143.696,,,,,407.768,253.418,,,,,20940.894,27305.277,,,,,5135.492,10774.798,,,,,97.745,88.731,,,,,20768.832,27199.509,,,,,13778.119,15273.12,,,,,-20533.126,-27051.859,,,,,0.005,0.003,,,,,0,0,,,,,4.737,12.49,,,,,-46236.258,-53410.128,,,,,-5379.917,-254.219,,,,,,,,,,,,,,,,,,,,,,,-17784.525,-1353.062,,,,,740.443,106.058,,,,,-20671.087,-27110.778,,,,,0.0002046126,,0.0024,1e-06,,,,,,,,,,,,,,,,,"L J Soldinger Associates, LLC",,,,,,,,,,,,,-5328.911,-245.367,,,,
