Company,Sector,SubSector,Industry,Ticker,FSS Score,FSS Weekly Change,Total Articles,Negative Articles,Z-Score,Receivables to Revenue,Debt to EBITDA,_ebitda,_totalDebt,Quick Ratio,S&P Issuer Credit Rating,Market Capitalization,Current Open Price,52-Week High Price,52-Week Low Price
Patagonia Gold Corp.,Materials,Metals & Mining,Gold Ore Mining,PGDC,0.6306055555555555,-1.0322222222222222,13.0,92.31,3353588.6382,0.1772,-6.7523,-7.072,47.752,0.2541,,301387713.328946,0.69,0.69,0.6
Sincerity Applied Materials Holdings Corp.,Materials,Plastics & Polymers,Plastics Products,SINC,,,,,125699365.1484,8.2168,-2.9435,-0.08056,0.23713,0.78292,,138740683.5,3.0,4.5,3.0
Lumos Diagnostics Holdings Ltd.,Healthcare,Medical Devices,Medical Diagnostic Equipment/Supplies,LDX,0.3302055555555555,-4.084444444444444,37.0,54.05,2948700.9173,0.1511,-1.9842,-4.062,8.06,0.69492,,96958411.5466562,0.1196,0.1196,0.0944
"Btab Ecommerce Group, Inc.",Financial Services,Insurance,Full-line Insurance,BBTT,0.0781944444444444,4.797777777777778,14.0,21.43,3441942.0204,0.3643,-13.2202,-0.37823,5.00028,0.48151,,43381963.248,0.0624,0.0624,0.0624
OneSpaWorld Holdings Ltd.,Consumer Goods,Personal Care & Beauty,Beauty/Personal Care Services,OSW,0.1767155555555555,1.1244444444444444,88.0,47.73,8881738.1284,0.0499,0.7686,109.241,83.967,1.09567,,2435341155.54,24.34,24.72,23.88
Cushman & Wakefield Ltd.,Real Estate,Real Estate Services,Real Estate Agents/Brokers,CWK,0.2008933333333333,-0.4633333333333334,421.0,47.27,338108.7259,0.1869,3.5828,767.5,2749.8,1.09696,,3223974948.8,14.12,14.18,13.66
Gold Reserve Ltd.,Materials,Metals & Mining,Gold Ore Mining,GRZ,0.2559744444444444,-1.5233333333333332,155.0,61.94,32739887.8207,,-0.0,-6.9245,0.0,3.52499,,609222977.304965,5.1,5.1,4.22
Ambipar Emergency Response,Healthcare,Healthcare Services,Emergency Treatment/Care,AMBIQ,0.8124044444444445,-0.4344444444444444,47.0,80.85,1013.9058,0.3404,3.5518,542.247,1925.974,1.75097,,5448754.3533,0.0983,0.0983,0.0983
"Cannabix Technologies, Inc.",Manufacturing,Instruments & Electronics,Measuring/Precision Instruments,BLO,0.4271655555555556,-0.5955555555555555,82.0,67.07,86665354.4309,,-0.0346,-4.58675,0.15865,6.19812,,64668269.006361,0.5692,0.5692,0.5195
New Horizon Aircraft Ltd.,Manufacturing,Aerospace & Defense,Alternative Fuel Aircraft,HOVR,0.3605,2.022222222222222,66.0,57.58,12894983.5418,,-0.0,-13.447,0.0,6.16365,,125124536.32,2.43,2.5293,2.24
"Edesa Biotech, Inc.",Healthcare,Pharmaceuticals,Biopharmaceuticals,SBOTF,0.2339811111111111,-4.568888888888889,39.0,48.72,75531975.7359,,-0.0,-7.7923,0.0,10.6745,,135773786.32,16.64,17.14,15.15
Telesat Corp.,Software & Technology,Networking & Connectivity,Satellites,TSAT,0.1998511111111111,3.1011111111111114,255.0,48.63,279526.826,0.154,16.9496,208.484,3533.716,0.25037,,2829259933.64,54.23,55.825,53.03
Hiru Corp.,Healthcare,Pharmaceuticals,Pharmaceuticals,HIRU,0.7702488888888889,1.2566666666666668,14.0,78.57,733270.0322,0.2103,,,3.66123,0.97949,,8700000.0,0.0015,0.0015,0.0012
ZeroStack Corp.,Agriculture,Specialty Crops,Asset Management,ZSTK,0.1771844444444444,-0.0722222222222222,88.0,40.91,113599.6293,0.0224,-0.3464,-154.406,53.489,0.79033,,11301690.15,5.5,5.5,4.16
Thomson Reuters Corp.,Software & Technology,Digital Services,Digital Content Services,TRI,0.1060411111111111,3.3833333333333333,541.0,32.35,3877801.7808,0.1629,0.809,2932.0,2372.0,0.63581,,38946018052.7455,91.68,92.88,88.1
VentriPoint Diagnostics Ltd.,Healthcare,Medical Devices,Medical Diagnostic Equipment/Supplies,VPT,0.12947,-4.131111111111111,30.0,30.0,2940023.8078,2.6393,-0.345,-4.73895,1.63484,0.13838,,17837021.883454,0.1,0.1,0.09089
"Mercer International, Inc.",Materials,Paper & Packaging,Paper Mills,MERC,0.2224355555555555,3.4099999999999997,89.0,43.82,18468.8185,0.1602,5.8697,252.722,1483.401,2.13739,,56413082.6,1.01,1.01,0.8408
"Arizona Gold & Silver, Inc.",Materials,Metals & Mining,Precious Metals,AZS,0.2206988888888889,3.818888888888889,36.0,72.22,80339726.3559,,-0.1496,-1.39711,0.209,15.97713,,47581204.0579074,0.4086,0.43794,0.4086
Au Gold Corp.,Materials,Metals & Mining,Gold Ore Mining,AUGC,0.07686,4.636666666666666,33.0,36.36,274665701.7064,,-0.0,-0.0904,0.0,1.36795,,11284182.6460481,0.1953,0.1953,0.18
"Achieve Life Sciences, Inc.",Healthcare,Pharmaceuticals,Cancer Drugs,ACHV,0.27721,-0.7511111111111111,102.0,53.92,16984903.659,,-0.2724,-54.652,14.889,4.39209,,573864128.63,5.16,5.67,5.16
"Taranis Resources, Inc.",Materials,Metals & Mining,Metal Ore Mining,TRO,0.2281077777777778,3.3177777777777773,36.0,61.11,6243162.9521,,-0.334,-0.29939,0.1,0.80043,,11377438.8023689,0.115,0.115,0.115
Athena Gold Corp.,Materials,Metals & Mining,Silver Ore Mining,AHNRF,0.29122,0.7944444444444444,67.0,53.73,8438301.5738,,-0.169,-0.61212,0.10342,1.88381,,11785499.341961,0.33,0.331,0.32
"Array, Inc.",Software & Technology,Networking & Connectivity,Networking,3664,0.1061388888888889,-2.67,25.0,20.0,676301.1528,0.3299,4.7302,150.401,711.431,1.90623,,1342904279.94,8.59,9.15,8.51
Credo Technology Group Holding Ltd.,Software & Technology,Hardware & Semiconductors,Semiconductors,CRDO,0.1048355555555555,1.3922222222222222,342.0,30.12,182220797.2052,0.3939,0.0,59.935,0.0,5.78868,,38775066386.8,187.31,210.97,186.78
Fabrinet,Energy,Electrical,Electrical Components/Equipment,FN,0.07939,3.6688888888888886,155.0,30.97,16434996.199,0.2219,0.0,379.283,0.0,2.28171,,23272491022.2,619.41,666.21,619.0
Blue Gold Ltd.,Financial Services,Holding Companies,Gold Ore Mining,BGL,0.1759233333333333,-2.125555555555555,154.0,43.51,60280692.2256,,-1.2543,-0.33378,0.41867,0.20061,,42062906.19,1.12,1.138,1.03
K Wave Media Ltd.,Media & Entertainment,Broadcasting,Multimedia Content Services,KWM,0.3449477777777778,-1.8277777777777775,55.0,61.82,1260504.4241,,-1.121,-2.09165,2.34476,0.09449,,18291943.746,0.3038,0.3056,0.2785
Kun Peng International Ltd.,Media & Entertainment,Venues & Attractions,Dating Services,KPEA,0.36319,2.5133333333333336,7.0,100.0,956905.4262,0.0138,-0.1055,-1.66614,0.17578,0.05485,,14400000.0,0.036,0.036,0.036
"AiXin Life International, Inc.",Financial Services,Holding Companies,Shell Company,AIXN,0.7732955555555555,-1.9244444444444444,6.0,100.0,350438.2178,0.1938,-0.0,-2.26691,0.0,0.12207,,5074966.302,0.203,0.203,0.203
"Jingbo Technology, Inc.",Software & Technology,Software,Applications Software,SVMB,0.42373,-4.1466666666666665,4.0,100.0,14731476.7841,1.4845,-5.7898,-4.18643,24.2385,0.50962,,860738888.6,1.55,1.55,1.55
"Hongchang International Co., Ltd.",Financial Services,Holding Companies,Shell Company,HCIL,0.3430077777777777,-3.058888888888889,3.0,66.67,2422444.9591,0.3412,,,13.39823,0.62003,,77824705.05,0.135,0.15,0.1349
"CXJ Group Co., Ltd.",Hospitality,Food & Drink,Caterers,ECXJ,0.4720188888888889,5.9944444444444445,5.0,100.0,26459258.7385,0.3361,-0.0,-2.2474,0.0,0.11589,,81816413.6,0.81,1.09,0.8
Wetour Robotics Ltd.,Software & Technology,AI & Emerging Tech,Wearable Technology,WETO,0.3327777777777778,0.2022222222222222,50.0,64.0,1436439.1164,0.0217,-2.3106,-5.28004,12.2,0.75479,,41000000.0,0.4746,0.5599,0.45
"Dynastar Holdings, Inc.",Retail,E-commerce,Etailing,DYNA,,,,,665838523.3287,0.0599,,,0.0,0.51993,,19486873.368,0.007675,0.008,0.007675
Wenyuan Group Corp.,Software & Technology,Software,Applications Software,WYGC,0.5979388888888889,-3.4211111111111117,2.0,100.0,96579432.6549,,-0.0067,-0.8339,0.00558,0.25658,,49566225.0,0.6001,0.6001,0.6
"Scientific Energy, Inc.",Retail,E-commerce,E-commerce,SCGY,0.5218511111111112,0.6022222222222222,5.0,80.0,346266.169,0.0622,1.0993,2.05415,2.25818,0.4695,,7110112.5,0.027,0.027,0.027
Prime Being Corp.,Hospitality,Food & Drink,Restaurants/Caterers,PRBG,,,,,27152213.9598,0.0,,,0.277,0.00088,,51325019.6,3.5,3.5,1.7
Da Zhong Trading Group Holding Co.,Agriculture,Agri-Inputs & Support,Animal Feed,DZGH,,,,,,,-0.0,-0.07619,0.0,0.0,,278068368.0,6.0,6.0,6.0
"Yum China Holdings, Inc.",Hospitality,Food & Drink,Limited-Service Restaurants,YUMC,0.1199922222222222,-2.6288888888888886,245.0,35.51,1839038.5886,0.0347,0.0489,1780.0,87.0,0.85441,,16563551280.24,46.96,47.63,46.95
"MicroCloud Hologram, Inc.",Software & Technology,AI & Emerging Tech,Internet-of-Things Technologies,HOLO,0.0327855555555555,-5.4688888888888885,123.0,25.2,782773.4907,0.0809,-0.0384,-137.33914,5.269,52.16053,,40554877.2,1.75,1.86,1.7101
"MicroAlgo, Inc.",Financial Services,Holding Companies,Shell Company,MLGO,0.0799555555555555,6.474444444444445,5.0,0.0,136524.0532,0.048,8.0169,20.46809,164.09087,6.11134,,51242339.32,4.12,4.37,4.08
CN Healthy Food Tech Group Corp.,Consumer Goods,Dietary Supplements,Dietary/Nutritional Supplements,UCFI,0.5421544444444445,-3.95,62.0,62.9,33793039.3179,,-0.7501,-1.70983,1.28256,0.01679,,287814756.33,5.3,7.3099,5.0901
