CompanyCode,Company,Ticker,Industry,Q1_2023_score,Q2_2023_score,Q3_2023_score,Q4_2023_score,Q1_2024_score,Q2_2024_score,Q3_2024_score,Q4_2024_score,Q1_2025_score,Q2_2025_score,Q3_2025_score,Q4_2025_score,Q1_2026_score,valid_quarters,latest_score,current_tier,slope_8q,acceleration,projected_Q1,projected_Q2,tier_4q_ago,tier_8q_ago,net_tier_change_4q,net_tier_change_8q,total_upgrades,total_downgrades
SINOMR,Patagonia Gold Corp.,PGDC,Gold Ore Mining,78.75085578702829,77.56496679733945,78.7201278929983,68.83206840647844,70.10651784890965,68.77780808620028,72.035002449837,74.29230904837999,74.80833619562955,71.4684783471926,72.19407294928378,70.91829309611234,71.69348483785565,13,71.69348483785565,High,0.0618050517528416,-2.0949651308013215,71.75528988960849,71.81709494136133,High,High,0.0,0.0,1,0
HPPKID,Sincerity Applied Materials Holdings Corp.,SINC,Plastics Products,67.49153142100053,67.50163668831597,67.44158338693211,56.985425387535436,67.35041390392863,67.35793664968345,62.53303402211752,59.249988663495934,61.66686627182626,67.18618523840556,67.18895462062247,67.3246890640421,67.1731392079214,13,67.1731392079214,High,0.6190584518481912,2.045285284416027,67.79219765976958,68.41125611161777,High,High,0.0,0.0,2,2
LUMDHP,Lumos Diagnostics Holdings Ltd.,LDX,Medical Diagnostic Equipment/Supplies,75.4008859375055,77.41710279919414,80.3227702397186,72.61806021328347,72.07784991530274,75.26670703657913,71.67314990654376,69.01303721241437,71.85038416707528,62.608539378000636,69.74521527284234,72.63701158486508,63.88571170869507,13,63.88571170869507,High,-0.9749163037068121,1.9632394606746968,62.91079540498826,61.935879101281444,High,High,0.0,0.0,2,1
VMTL,"Btab Ecommerce Group, Inc.",BBTT,Full-line Insurance,,,57.54120522374807,69.3751730364419,60.655581063023675,61.70109480726668,65.1016367002642,56.1329313304445,56.25007225901828,73.94379562299733,70.22415413412104,55.71849351512959,65.82989221832352,11,65.82989221832352,High,0.4994435443658793,-1.3525597818448034,66.3293357626894,66.82877930705529,Moderate,High,1.0,0.0,2,3
HQJINK,OneSpaWorld Holdings Ltd.,OSW,Beauty/Personal Care Services,50.043256080274304,49.16898970985312,51.258693196601214,39.300581938342326,48.03104539101302,42.27130362223694,34.48666865874963,31.827170111711688,35.07107482026522,36.42302899778655,33.39010791714569,34.264500094118496,36.04459291090299,13,36.04459291090299,Low,-0.46020297867464227,2.399926886927526,35.58438993222835,35.12418695355371,Low,Moderate,0.0,-1.0,2,1
DTC,Cushman & Wakefield Ltd.,CWK,Real Estate Agents/Brokers,54.09213406580983,48.25717244782527,49.84145285326663,56.389508493763984,52.39254426863455,51.01211218376584,51.71536282605674,51.12052464359933,51.31667895114703,49.26897961704245,50.00345823730851,43.782729308565976,44.920658941488526,13,44.920658941488526,Moderate,-1.0440742718615676,-1.9584553075090512,43.87658466962696,42.83251039776539,Moderate,Moderate,0.0,0.0,0,0
GLDR,Gold Reserve Ltd.,GRZ,Gold Ore Mining,25.113508844587123,38.29530727373304,24.534373000540864,53.11007780490695,63.13785358579215,62.74212777404754,64.30797245527972,50.621017599288145,55.447666857870125,61.51533018092628,58.91743959558375,57.736868782792484,55.23308769300981,13,55.23308769300981,Moderate,-0.6483555906875837,1.5543039327983093,54.58473210232222,53.93637651163464,Moderate,High,0.0,-1.0,2,3
MZMRSJ,Ambipar Emergency Response,AMBIQ,Emergency Treatment/Care,64.94944768263457,67.04708527304813,60.93085100995326,44.23476689733715,55.517655853525774,52.57195989026416,50.32393849671182,60.27834681127604,53.72171639745035,59.114651102211916,55.358293311262884,54.7227197809014,54.403933926302926,13,54.403933926302926,Moderate,0.30298212949930564,-2.8171402894211313,54.70691605580223,55.00989818530154,Moderate,Moderate,0.0,0.0,2,1
WPNRSI,"Cannabix Technologies, Inc.",BLO,Measuring/Precision Instruments,37.81574211539418,30.476832322730974,31.073982423950074,35.279026722350785,33.92445762886179,36.550101464655064,40.12767679464551,39.83821106399918,46.378422336676614,39.12920379493357,36.76559747675166,52.59843562248844,52.238195903393624,13,52.238195903393624,Moderate,1.853611856034513,2.5964317585698606,54.091807759428136,55.94541961546265,Moderate,Low,0.0,1.0,2,3
CPCVVC,New Horizon Aircraft Ltd.,HOVR,Alternative Fuel Aircraft,,46.15576296427363,69.60919701377449,73.19876455282032,89.61879966786054,94.58446161850368,89.78615710898957,66.3198276581786,71.4187107578499,77.3487204785623,72.69390473562535,66.95625842019892,73.73034454388203,12,73.73034454388203,High,-2.7985246668244246,7.637080791330524,70.9318198770576,68.13329521023317,High,Critical,0.0,-1.0,2,3
